director_name,ceremony,year,category,outcome,original_language
Russ Parr,Black Reel Awards,2015.0,Black Reel,Nominated,en
Jennifer Aniston,MTV Movie + TV Awards,2004.0,MTV Movie Award,Nominated,en
Jet Li,Hong Kong Film Critics Society Awards,2008.0,HKFCS Award,Nominated,en
Colin Trevorrow,Indiewire Critics' Poll,2012.0,ICP Award,Nominated,en
Ezio Massa,London Latin American Film Festival (LLAFF),2008.0,Audience Award,Nominated,en
Lupita Nyong'o,Florida Film Critics Circle Awards,2013.0,Pauline Kael Breakout Award,Won,en
James Keach,Western Heritage Awards,1992.0,Bronze Wrangler,Won,en
Thomas L. Callaway,Memphis Indie Film Festival,2007.0,Indie Memphis Competiton,Won,en
Beau Bridges,Primetime Emmy Awards,1996.0,Primetime Emmy,Nominated,en
Kai S. Pieck,Image + Nation Festival Cinema LGBT Montreal Film Festival,2003.0,Jury Award,Won,de
Horst Königstein,Monte-Carlo TV Festival,2002.0,Golden Nymph,Won,de
Michael Ostrowski,"Romy Gala, Austria",2011.0,Romy,Nominated,de
Lee Chang-dong,Director's Cut Awards,2007.0,Director's Cut Award,Won,ko
Nathaniel Kahn,"Academy Awards, USA",2007.0,Oscar,Nominated,en
Guillaume Giovanetti,Barcelona Docupolis,2007.0,Best Short Documentary,Won,en
Aleksei Popogrebsky,Karlovy Vary International Film Festival,2003.0,Philip Morris Award,Won,en
James Cullen Bressack,PollyGrind Underground Film Festival of Las Vegas,2013.0,Director On The Rise,Won,en
Armando Bo,Italian Online Movie Awards (IOMA),2015.0,IOMA,Nominated,es
Rafaël Ouellet,Jutra Awards,2013.0,Jutra,Nominated,en
Rhys Davies,DVD Exclusive Awards,2003.0,DVDX Award,Nominated,en
Dylan Mohan Gray,Black Film Festival Montreal,2014.0,Festival Prize,Won,en
John Patrick Shanley,Los Angeles Film Critics Association Awards,1987.0,LAFCA Award,2nd place,en
Satyajit Ray,Tokyo International Film Festival,1991.0,Special Achievement Award,Won,bn
Pablo Trapero,Argentinean Film Critics Association Awards,2011.0,Silver Condor,Nominated,es
Owen Harris,BAFTA Awards,2014.0,BAFTA TV Award,Nominated,en
Arbo Tammiksaar,Jihlava International Documentary Film Festival,2015.0,Best Central and Eastern European Documentary,Nominated,en
Raymond Depardon,Prix Louis Delluc,2008.0,Prix Louis Delluc,Won,fr
Eddie Murphy,Hollywood Film Awards,2016.0,Career Achievement Award,Won,en
Rene Daalder,Fantasporto,1998.0,International Fantasy Film Award,Nominated,en
Fabio Grassadonia,Dresden Film Festival,2011.0,Golden Horseman,Nominated,it
Xavier Beauvois,"Globes de Cristal Awards, France",2006.0,Globe de Cristal,Nominated,fr
Eric Eason,Gotham Awards,2002.0,Open Palm Award,Won,en
Gustavo Steinberg,Warsaw International Film Festival,2008.0,Competition 1-2 Award,Nominated,en
René Múgica,San Sebastián International Film Festival,1964.0,OCIC Award - Honorable Mention,Won,es
Johnny Mak,Hong Kong Film Awards,1994.0,Hong Kong Film Award,Nominated,cn
Carlos Hagerman,Biarritz International Festival of Latin American Cinema,2009.0,Documentary Award - Special Mention,Won,es
Pekka Parikka,Berlin International Film Festival,1990.0,Golden Berlin Bear,Nominated,fi
Rodrigo Prieto,BAFTA Awards,2007.0,BAFTA Film Award,Nominated,en
Tamar van den Dop,Berlin International Film Festival,2014.0,Crystal Bear,Nominated,nl
Manuel Gutiérrez Aragón,Yoga Awards,2002.0,Yoga Award,Won,es
Shona Auerbach,Montréal World Film Festival,2004.0,Golden Zenith,Won,en
Dror Shaul,Awards of the Israeli Film Academy,2006.0,Award of the Israeli Film Academy,Won,en
Stephen Chow,Amsterdam Fantastic Film Festival,2005.0,Silver Scream Award,Won,cn
Michel Deville,San Sebastián International Film Festival,1999.0,Golden Seashell,Nominated,fr
Guillaume Gallienne,"Lumiere Awards, France",2014.0,Heike Hurst Award,Won,fr
Eric Simonson,Los Angeles Independent Film Festival Awards,2015.0,LAIFF July Award,Nominated,en
Park Chul-soo,Chicago International Film Festival,1999.0,Gold Hugo,Nominated,ko
Imad Noury,Palm Springs International Film Festival,2007.0,New Voices/New Visions Grand Jury Prize,Nominated,en
Dev Benegal,Torino International Festival of Young Cinema,1994.0,Jury Special Prize,Won,en
Daryl Wein,SXSW Film Festival,2009.0,SXSW Competition Award,Nominated,en
"Max Baer, Jr.",TV Land Awards,2004.0,TV Land Award,Won,en
Sudz Sutherland,Gemini Awards,2000.0,Gemini,Nominated,en
