director_name,ceremony,year,category,outcome,original_language
Bohdan Sláma,Tribeca Film Festival,2017.0,Jury Award,Won,cs
Noella Smith,BAFTA Awards,1986.0,BAFTA Film Award,Won,en
Todd Haynes,Film Independent Spirit Awards,1992.0,Independent Spirit Award,Nominated,en
Diego Quemada-Díez,Thessaloniki Film Festival,2013.0,Audience Award,Won,en
Destin Cretton,Sundance Film Festival,2009.0,Short Filmmaking Award,Won,en
Maja Weiss,Trieste Film Festival,2008.0,Special Mention,Won,sl
Sara Eustáquio,Prince of Prestige Academy Award,2017.0,Paeca,Nominated,en
Olivia M. Lamasan,"FAP Awards, Philippines",1996.0,FAP Award,Won,en
Madhupal,Kerala State Film Awards,2009.0,Kerala State Film Award,Won,ml
Jeremy Seifert,Washington DC Independent Film Festival,2010.0,Grand Jury Award,Won,en
Alfred Hitchcock,Laurel Awards,1958.0,Golden Laurel,2nd place,en
Leonard Nimoy,Gold Derby Awards,2010.0,Gold Derby Award,Nominated,en
Lynn-Maree Danzey,Festróia - Tróia International Film Festival,1999.0,OCIC Award - Special Mention,Won,en
Midi Z,Taipei Film Festival,2014.0,Festival Prize,Won,zh
Jacques Feyder,Venice Film Festival,1938.0,Special Recommendation,Won,en
Sylvain Chomet,Italian Online Movie Awards (IOMA),2011.0,IOMA,Nominated,fr
Kaneto Shindô,Montréal World Film Festival,2000.0,Grand Prix Special des Amériques,Won,ja
Franck Dubosc,NRJ Ciné Awards,2006.0,NRJ Ciné Award,Won,fr
Charles Bennett,"Academy Awards, USA",1941.0,Oscar,Nominated,en
Don McLennan,Australian Film Institute,1980.0,AFI Award,Nominated,en
Ken Loach,Torino Film Festival,2012.0,Gran Premio Torino,Won,en
Éric Rohmer,Berlin International Film Festival,1992.0,Golden Berlin Bear,Nominated,fr
Micah Brock,"Action on Film International Film Festival, USA",2013.0,Action on Film Award,Nominated,en
P.J. Dillon,Irish Film and Television Awards,2013.0,IFTA Award,Nominated,en
Patrick C. Clinton,Terror Film Festival,2014.0,Claw Award,Nominated,en
George Clooney,AACTA International Awards,2012.0,AACTA International Award,Nominated,en
O Muel,Busan Film Critics Association (BCFA),2013.0,Busan Film Critics Association Award,Won,ko
Lorcan Finnegan,Brooklyn Horror Film Festival,2016.0,Festival Prize,Won,en
Jean Bernard Marlin,Rhode Island International Film Festival,2013.0,First Prize,Won,fr
Micheline Lanctôt,Venice Film Festival,1984.0,OCIC Award - Honorable Mention,Won,fr
Daniele Vicari,David di Donatello Awards,2007.0,David,Won,it
Richard Taylor,Costume Designers Guild Awards,2013.0,CDG Award,Nominated,en
Jan Peters,Sarajevo Film Festival,1999.0,FIPRESCI Prize,Won,de
Joachim Trier,New York Film Critics Circle Awards,2008.0,NYFCC Award,3rd place,en
Ethan Hawke,Film Independent Spirit Awards,2015.0,Independent Spirit Award,Nominated,en
Staten Cousins-Roe,"Colchester Film Festival, UK",2013.0,Best Director,Won,en
Ricky Tognazzi,Torino International Festival of Young Cinema,1995.0,Best Italian Short Film of the Year - Special Mention,Won,it
Mickey Nedimovic,Heartland Film Festival,2012.0,Crystal Heart Award,Won,en
Mehmet Bahadir Er,Fantasporto,2014.0,Directors' Week Award,Won,en
Val Kilmer,"Capri, Hollywood",2004.0,Capri Legend Award,Won,en
Michael Caine,"Golden Globes, USA",1998.0,Golden Globe,Nominated,en
Demi Moore,MTV Movie + TV Awards,2004.0,MTV Movie Award,Nominated,en
Matthew Robinson,Art Directors Guild,2013.0,Excellence in Production Design Award,Won,en
Frédéric Back,World Animation Celebration,1987.0,WAC Winner,Won,en
Norman Jewison,ASCAP Film and Television Music Awards,2001.0,Opus Award,Won,en
Steve Kloves,London Critics Circle Film Awards,2001.0,ALFS Award,Nominated,en
Mohammad Malas,Valencia Festival of Mediterranean Cinema,1984.0,Golden Palm,Won,ar
Carl Thibault,Fargo Film Festival,2006.0,Best Narrative Feature,Won,en
Ray Harryhausen,Sitges - Catalonian International Film Festival,1995.0,Time-Machine Honorary Award,Won,en
Robert De Niro,"Golden Globes, USA",1979.0,Golden Globe,Nominated,en
Michael Spierig,Film Critics Circle of Australia Awards,2015.0,FCCA Award,Nominated,en
Paolo Campana,Torino International Festival of Young Cinema,1996.0,Prize of the City of Torino,Nominated,en
Brent Hodge,Leo Awards,2015.0,Leo,Won,en
Peter Jackson,BAFTA Awards,2002.0,BAFTA Film Award,Nominated,en
Mia Hansen-Løve,Toronto International Film Festival,2014.0,International Critics' Award,Nominated,fr
Morgan Spurlock,"CinemaCon, USA",2011.0,CinemaCon Award,Won,en
Shane Meadows,Gijón International Film Festival,2002.0,Grand Prix Asturias,Nominated,en
John Candy,"American Comedy Awards, USA",1988.0,American Comedy Award,Nominated,en
Billy Wilder,BAFTA Awards,1960.0,BAFTA Film Award,Nominated,en
Geneviève Mersch,Chicago International Film Festival,1992.0,Gold Hugo,Nominated,en
Sergio G. Sánchez,Barcelona Film Awards,2007.0,Barcelona Film Award,Nominated,en
Mark Grieco,Abu Dhabi Film Festival,2014.0,Black Pearl Award,Nominated,en
Niki Lindroth Von Bahr,Chicago International Film Festival,2014.0,Gold Hugo,Nominated,en
David Duchovny,Bravo Otto,2000.0,Bravo Otto Germany,2nd place,en
Fenton Bailey,Primetime Emmy Awards,2014.0,Primetime Emmy,Nominated,en
René Wheeler,Locarno International Film Festival,1948.0,Prize,Won,en
Laurent Achard,Brest European Short Film Festival,1994.0,Grand Prix,Won,en
Ludmil Staikov,Golden Rose,1976.0,Golden Rose,Won,bg
Luca Gasparini,Torino Film Festival,2001.0,Prize of the City of Torino,Nominated,it
Natalia Almada,Cine Ceará - National Cinema Festival,2006.0,Special Jury Award,Won,es
Leigh Jason,"National Board of Review, USA",2015.0,NBR Award,Won,en
Alberto Vázquez,European Film Awards,2016.0,European Film Award,Nominated,en
Deniz Gamze Ergüven,Cannes Film Festival,2015.0,Queer Palm,Nominated,en
Grímur Hákonarson,"Gopo Awards, Romania",2017.0,Gopos Award,Nominated,en
Svetla Tsotsorkova,Thessaloniki Film Festival,2015.0,A Look at the Balkans Award,Nominated,bg
Anca Damian,Milwaukee Film Festival,2012.0,Festival Prize,Won,fr
Diane Keaton,AARP Movies for Grownups Awards,2011.0,Movies for Grownups Award,Nominated,en
Hiroshi Teshigahara,Berlin International Film Festival,1990.0,C.I.C.A.E. Award,Won,ja
Michael Hall,Screen Actors Guild Awards,2007.0,Actor,Nominated,en
Juan José Campanella,International Online Cinema Awards (INOCA),2011.0,INOCA,Nominated,es
Andres Heinz,Washington DC Area Film Critics Association Awards,2010.0,WAFCA Award,Nominated,en
Willis H. O'Brien,Annie Awards,1997.0,Winsor McCay Award,Won,en
Robert Lapoujade,"César Awards, France",1977.0,César,Won,en
Elia Kazan,Berlin International Film Festival,1960.0,Golden Berlin Bear,Nominated,en
Norman Jewison,BAFTA Awards,1967.0,UN Award,Nominated,en
Bingjian Zhang,Shanghai International Film Festival,2015.0,Asian New Talent Award,Nominated,zh
Rúnar Rúnarsson,Molodist International Film Festival,2004.0,FIPRESCI Prize,Won,is
Jan Troell,Valladolid International Film Festival,1998.0,Best Documentary,Won,sv
Don Roos,PEN Center USA West Literary Awards,1999.0,Literary Award,Won,en
Derek Jarman,Berlin International Film Festival,1992.0,Teddy,Won,en
Tim Burton,Hugo Awards,1994.0,Hugo,Nominated,en
David Grubin,"Writers Guild of America, USA",1999.0,WGA Award (TV),Won,en
Alfréd Radok ,San Sebastián International Film Festival,1957.0,Silver Seashell,Won,cs
Woody Allen,Berlin International Film Festival,1975.0,UNICRIT Award,Won,en
Mo Asumang,Phoenix Film Festival,2014.0,Copper Wing Award,Won,de
Tony Barbieri,"Writers Guild of America, USA",2009.0,WGA Award (TV),Nominated,en
Octavio Cortázar,Berlin International Film Festival,1978.0,Golden Berlin Bear,Nominated,es
Yevgeni Pashkevich,Latvian National Film Festival,2012.0,Latvian Film Prize,Won,en
Hideo Nakata,Neuchâtel International Fantastic Film Festival,2000.0,Narcisse Award,Nominated,ja
Jenny Bicks,BAFTA Awards,2014.0,BAFTA Children's Award,Nominated,en
Daniel Ruczko,LA Shorts Awards,2015.0,Silver Award,Won,en
Nino Kirtadze,Jihlava International Documentary Film Festival,2010.0,Best Central and Eastern European Documentary,Nominated,en
Andy García,Broadcast Film Critics Association Awards,2005.0,Critics Choice Award,Nominated,en
Paul Weitz,Chicago Film Critics Association Awards,2003.0,CFCA Award,Nominated,en
Oliver Stone,Chicago Film Critics Association Awards,1996.0,CFCA Award,Won,en
Eliseo Subiela,Montréal World Film Festival,1989.0,Best Screenplay,Won,es
Luigi Magni,Italian National Syndicate of Film Journalists,1970.0,Silver Ribbon,Nominated,it
Jörn Threlfall,Sundance Film Festival,2016.0,Short Film Grand Jury Prize,Nominated,en
Kentarô Ôtani,Singapore International Film Festival,2002.0,Silver Screen Award,Nominated,ja
Mohamed Diab,Montclair Film Festival (MFF),2017.0,Audience Award,Won,ar
Jia Zhangke,Film Independent Spirit Awards,2014.0,Independent Spirit Award,Nominated,zh
James R. Gorrie,Breckenridge Festival of Film,2007.0,Best of the Fest,Won,en
Neil Druckmann,BAFTA Awards,2014.0,BAFTA Games Award,Won,en
Cristian Mungiu,London Critics Circle Film Awards,2008.0,ALFS Award,Nominated,ro
Toni Servillo,David di Donatello Awards,2009.0,David,Won,it
Rob Epstein,Primetime Emmy Awards,1996.0,Primetime Emmy,Nominated,en
Jerry Seinfeld,"Aftonbladet TV Prize, Sweden",2000.0,TV Prize,Won,en
Peter Tolan,Primetime Emmy Awards,2005.0,Primetime Emmy,Nominated,en
Martín De Salvo,Peñíscola Comedy Film Festival,2005.0,Youth Jury Award,Won,es
Shangjun Cai,Chicago International Film Festival,2008.0,Gold Hugo,Nominated,zh
Peter McCarthy,Sundance Film Festival,1994.0,Grand Jury Prize,Nominated,en
Angus MacLane,Visual Effects Society Awards,2017.0,VES Award,Nominated,en
Jonathan Glazer,Venice Film Festival,2013.0,Golden Lion,Nominated,en
Caetano Gotardo,Miami Film Festival,2013.0,Grand Jury Prize,Nominated,pt
Andreas Hykade,Zagreb World Festival of Animated Films,2000.0,Second Prize,Won,en
Oleg Yankovskiy,Nika Awards,2001.0,Nika,Nominated,ru
Zhang Yimou,Asian Film Awards,2010.0,Outstanding Contribution to Asian Cinema,Won,zh
David Streit,New York Film and TV Festival,2016.0,Festival Award,Won,en
Craig Cash,Broadcasting Press Guild Awards,1999.0,Writer's Award,Won,en
Cindy Baer,WorldFest Houston,2004.0,Platinum Award,Won,en
Jack Nicholson,"National Board of Review, USA",1975.0,NBR Award,Won,en
Tony Au,Hong Kong Film Awards,1985.0,Hong Kong Film Award,Nominated,cn
Quique Rivera,Los Angeles Independent Film Festival Awards,2015.0,LAIFF February Award,Won,es
Patrick Levis,Young Artist Awards,2001.0,Young Artist Award,Won,fr
Víctor Erice,Sant Jordi Awards,1993.0,Special Award,Won,es
Nitin Chandrakant Desai,Genie Awards,1999.0,Genie,Nominated,hi
Shusuke Kaneko,Asian Film Awards,2007.0,Asian Film Award,Nominated,ja
António da Silva,IndieLisboa International Independent Film Festival,2013.0,Best Portuguese Short Film,Won,en
Ernesto Ardito,Havana Film Festival,2003.0,Grand Coral - First Prize,Won,en
Jeon Soo-il,Pusan International Film Festival,1999.0,Netpac Award,Won,ko
A.J. Kardar,Moscow International Film Festival,1959.0,Golden Prize,Won,ur
Doris Dörrie,Seattle International Film Festival,2008.0,Golden Space Needle Award,Won,de
Roy Andersson,Film Independent Spirit Awards,2016.0,Independent Spirit Award,Nominated,sv
Ricardo Darín,Clarín Entertainment Awards,2001.0,Clarin Award,Won,es
Matthew Jacobs,WorldFest Flagstaff,1998.0,Gold Award,Won,en
Carl Foreman,"Writers Guild of America, USA",1969.0,Laurel Award for Screen Writing Achievement,Won,en
Gabriel Mascaro,Premios Fénix (Fenix Film Awards),2016.0,Premio Fénix,Won,pt
Ding Sheng,Golden Horse Film Festival,2015.0,Golden Horse Award,Nominated,zh
Abby Mann,Primetime Emmy Awards,1989.0,Primetime Emmy,Won,en
Mike Wallis,New Zealand Film and TV Awards (II),2012.0,Film Award,Nominated,en
Miwa Nishikawa,Japanese Professional Movie Awards,2004.0,Japanese Professional Movie Award,Won,ja
Graham Yost,Primetime Emmy Awards,1998.0,Primetime Emmy,Nominated,en
Richie Mehta,Fribourg International Film Festival,2014.0,Grand Prix,Nominated,en
David Spaltro,Gwinnett Center International Film Festival,2013.0,Best Director,Won,en
Douglas McGrath,"Writers Guild of America, USA",1997.0,WGA Award (Screen),Nominated,en
Peter Jackson,London Critics Circle Film Awards,1996.0,ALFS Award,Won,en
Alice Waddington,Rhode Island International Film Festival,2016.0,Best Short,Nominated,en
Thomas Vincent,Haifa International Film Festival,1999.0,Golden Anchor Award,Won,fr
Marcin Koszałka,Motovun Film Festival,2016.0,Propeller of Motovun,Nominated,cs
Vincent Patar,Gold Derby Awards,2014.0,Gold Derby Award,Nominated,en
Silvio Soldini,Swiss Film Prize,2013.0,Swiss Film Prize,Nominated,it
Jeffrey Gee Chin,Atlanta Urban Mediamakers Film Festival,2013.0,Film Category Prize,3rd place,en
David Martín Porras,Goya Awards,2016.0,Goya,Nominated,en
Max Ksjonda,Slamdance Film Festival,2014.0,Special Mention,Won,en
Sergio Castellitto,Italian National Syndicate of Film Journalists,1994.0,Silver Ribbon,Nominated,it
Henry Selick,Rondo Hatton Classic Horror Awards,2009.0,Rondo Statuette,Nominated,en
Antonio Frazzi,Italian National Syndicate of Film Journalists,2001.0,Silver Ribbon,Nominated,it
Stanley Kwan,Chicago International Film Festival,1992.0,Silver Hugo,Won,cn
Nick Broomfield,San Sebastián International Film Festival,2006.0,Solidarity Award,Won,en
Chris Eska,Ashland Independent Film Festival,2013.0,Ashland Independent Film Award,Won,en
Derek Jarman,Berlin International Film Festival,1986.0,C.I.D.A.L.C. Award,Won,en
Federico Bondi,Locarno International Film Festival,2008.0,Prize of the Ecumenical Jury,Won,it
Benh Zeitlin,North Carolina Film Critics Association,2013.0,NCFCA Award,Nominated,en
Tina Gharavi,"Anthem Film Festival, Las Vegas",2016.0,Short Film Competition,Won,en
Sai Varadan,Tribeca Film Festival,2005.0,Jury Award,Nominated,en
Raúl Martínez Solares,"Ariel Awards, Mexico",1948.0,Silver Ariel,Nominated,es
Katy Chevigny,Black Point Film Festival,2004.0,Audience Award,Won,en
Richard Attenborough,European Film Awards,1988.0,Award of Merit,Won,en
Jeremy Podeswa,Sarasota Film Festival,2008.0,Audience Award,Won,en
Stephen Marshall,Sundance Film Festival,2002.0,Online Film Festival Viewers Award,Won,en
Jose N. Carreon,Gawad Urian Awards,1980.0,Gawad Urian Award,Nominated,en
Joe Carnahan,Film Independent Spirit Awards,2003.0,Independent Spirit Award,Nominated,en
William Shatner,"Golden Globes, USA",2008.0,Golden Globe,Nominated,en
Joshua Safdie,Stockholm Film Festival,2014.0,Bronze Horse,Nominated,en
Anca Hirte,"Gopo Awards, Romania",2015.0,Gopos Award,Nominated,fr
David Grabias,San Francisco International Asian American Film Festival,2006.0,Audience Award,Won,en
Luc Dardenne,European Film Awards,1997.0,European Film Award,Won,en
Maarit Lalli,Jussi Awards,2013.0,Jussi,Won,en
John Malkovich,Chicago International Film Festival,2002.0,Gold Hugo,Nominated,en
L. Rezan Yesilbas,CinEuphoria Awards,2014.0,CinEuphoria,Won,ku
Bill Cosby,"Kids' Choice Awards, USA",1993.0,Blimp Award,Won,en
James Hawes,Hugo Awards,2007.0,Hugo,Nominated,en
Lupita Nyong'o,Acapulco Black Film Festival,2014.0,Hollywood Award,Won,en
Nicolás Rincon Gille,Cinéma du Réel,2007.0,Libraries Award,Won,en
Chris Shepherd,London Film Festival,2006.0,TCM Prize,Won,en
Francesco Rosi,BAFTA Awards,1983.0,BAFTA Film Award,Won,it
John Andreas Andersen,"Amanda Awards, Norway",2008.0,Amanda,Nominated,no
Tunç Basaran,Istanbul International Film Festival,1988.0,Best Turkish Film of the Year,Won,tr
Michael Cuesta,Edinburgh International Film Festival,2001.0,New Director's Award,Won,en
Ellen Kuras,Gold Derby Awards,2005.0,Gold Derby Award,Nominated,en
Claudia Llosa,Sundance Film Festival,2006.0,Grand Jury Prize,Nominated,es
Ernesto Ardito,Moscow International Film Festival,2017.0,Golden St. George,Nominated,en
Marilou Diaz-Abaya,Singapore International Film Festival,1998.0,FIPRESCI/NETPAC Award,Won,en
Terry Gilliam,Satellite Awards,2009.0,Satellite Award,Nominated,en
Scooter Corkle,Lanzarote International Film Festival,2014.0,Jury Award,Won,en
Vanessa Redgrave,New York Film Critics Circle Awards,2011.0,NYFCC Award,3rd place,en
Nanni Loy,Italian National Syndicate of Film Journalists,1980.0,Silver Ribbon,Won,it
Jill D'Agnenica,Accolade Competition,2014.0,Award of Excellence,Won,en
John Dahl,"Directors Guild of America, USA",1995.0,DGA Award,Nominated,en
Athina Rachel Tsangari,SXSW Film Festival,2016.0,SXSW Gamechanger Award,Nominated,en
Brent Weinbach,The Streamy Awards,2016.0,Streamy Award,Nominated,en
Stefania Sandrelli,Italian National Syndicate of Film Journalists,1980.0,Silver Ribbon,Won,it
Ken Loach,Santa Barbara International Film Festival,2003.0,Jury Award,Won,en
Philippe Barcinski,Festival de Cinema Latino-Americano de Sao Paulo,2013.0,Festlatino,Won,pt
Émile Gaudreault,Montréal World Film Festival,2007.0,Most Popular Canadian Feature Film,Won,fr
Elmo Nüganen,Palm Springs International Film Festival,2016.0,Audience Award,Nominated,en
Antonio Banderas,Cartagena Film Festival,1991.0,Golden India Catalina,Won,en
Babak Anvari,British Independent Film Awards,2016.0,British Independent Film Award,Nominated,en
Darren Aronofsky,Austin Film Critics Association,2010.0,Austin Film Critics Award,Won,en
Gianluca Sodaro,ECU European Independent Film Festival,2014.0,Festival Award,Nominated,en
Woody Allen,Bodil Awards,1984.0,Bodil,Won,en
Moon Molson,New York City Short Film Festival,2015.0,Festival Award,Won,en
Cláudio Assis,Havana Film Festival,2003.0,Coral,Won,pt
Satya Kharkar,Route 66 Film Festival,2012.0,Audience Award,Won,en
Thirumurugan,"Tamil Nadu State Film Awards, India",2006.0,Creative Award,Won,en
David Thewlis,Gold Derby Awards,2012.0,Gold Derby Award,Nominated,en
Yau Nai-Hoi,Hong Kong Film Awards,2008.0,Hong Kong Film Award,Won,cn
Annemarie Jacir,Amiens International Film Festival,2013.0,SIGNIS Award,Won,en
Michael Moore,Venice Film Festival,2009.0,Golden Lion,Nominated,en
Michael Hall,Gay and Lesbian Entertainment Critics Association (GALECA),2011.0,Dorian Award,Won,en
Elyer Ishmukhamedov,"Golden Eagle Awards, Russia",2004.0,Golden Eagle,Nominated,ru
Pegi Vail,Williamsburg Brooklyn Film Festival,1998.0,Audience Award,Won,en
Ben Stiller,"People's Choice Awards, USA",2010.0,People's Choice Award,Nominated,en
Jeanne Moreau,Seattle International Film Festival,2013.0,Golden Space Needle Award,Nominated,en
Rafael Moreno Alba,Premios ACE,1984.0,Premio ACE,Won,es
Gábor Csupó,Primetime Emmy Awards,1990.0,Primetime Emmy,Won,en
Laura Dunn,Nashville Film Festival,2016.0,Grand Jury Prize,Won,en
Dyan Cannon,"National Society of Film Critics Awards, USA",1970.0,NSFC Award,3rd place,en
Imanol Arias,"TP de Oro, Spain",2007.0,TP de Oro,Won,es
Sophie Deraspe,Chéries-Chéris,2015.0,Grand Prize Chéries-Chéris,Nominated,en
Guto Parente,Panorama Coisa De Cinema,2012.0,Panorama Brasil,Won,pt
Ice Cube,BET Comedy Awards,2004.0,BET Comedy Award,Nominated,en
Doug Hamilton,SXSW Film Festival,2013.0,Audience Award,Nominated,en
King Hu,Golden Horse Film Festival,1997.0,Lifetime Achievement Award,Won,zh
Živojin Pavlović,Berlin International Film Festival,1971.0,Golden Berlin Bear,Nominated,sr
Michael Kerrigan,BAFTA Awards,2006.0,BAFTA Children's Award,Nominated,en
Dennis Muren,"Academy of Science Fiction, Fantasy & Horror Films, USA",2006.0,Saturn Award,Nominated,en
Leon Hirszman,Berlin International Film Festival,1972.0,Interfilm Award - Recommendation,Won,pt
Liliana Greenfield-Sanders,Oldenburg Film Festival,2009.0,German Independence Award - Best Short Film,Nominated,en
Beau Bridges,Gold Derby Awards,2006.0,Gold Derby TV Award,Nominated,en
Bill Cosby,"Aftonbladet TV Prize, Sweden",1987.0,TV Prize,Won,en
Kongdej Jaturanrasamee,Thailand National Film Association Awards,2010.0,National Film Association Award,Nominated,th
Kurt Stefan,"TeleStar, Germany",1996.0,TeleStar,Won,en
Paul Hough,Louisiana Science Fiction Film and Costume Festival,2013.0,Festival Prize,Won,en
Rungano Nyoni,Neuchâtel International Fantastic Film Festival,2017.0,Silver Méliès Award,Nominated,en
Adam McKay,"Writers Guild of America, USA",2010.0,WGA Award (TV),Won,en
Daniel Vega Vidal,Nantes Three Continents Festival,2013.0,Golden Montgolfiere,Nominated,es
Marielle Heller,Alliance of Women Film Journalists,2016.0,EDA Female Focus Award,Won,en
Radu Muntean,Cottbus Film Festival of Young East European Cinema,2006.0,Grand Prize,Nominated,en
Daniel Monzón,Fantasporto,2001.0,International Fantasy Film Award,Nominated,es
Micheline Lanctôt,Genie Awards,1985.0,Genie,Won,fr
Derek Lamb,"Academy Awards, USA",1980.0,Oscar,Won,en
Jodie Foster,Online Film & Television Association,1998.0,OFTA Film Award,Nominated,en
Shemi Zarhin,Awards of the Israeli Film Academy,2006.0,Award of the Israeli Film Academy,Won,en
Tómas Gislason,NatFilm Festival,1995.0,Night Dreamer Award,Won,da
Lena Dunham,Gold Derby Awards,2016.0,Gold Derby TV Award,Nominated,en
John Curran,London Film Festival,2013.0,Best Film,Nominated,en
Marc Evans,Sundance Film Festival,2008.0,Grand Jury Prize,Nominated,en
Pelin Esmer,"Nuremberg Film Festival ""Turkey-Germany""",2010.0,Best Film,Won,tr
Chris Trebilcock,Directors Guild of Canada,2006.0,DGC Team Award,Nominated,en
Josiane Balasko,"César Awards, France",2004.0,César,Nominated,fr
Fabian Giessle,Tupelo Film Festival,2010.0,Festival Prize,2nd place,en
Russ Parr,American Black Film Festival,2012.0,Grand Jury Prize,Won,en
Jack Nicholson,Boston Society of Film Critics Awards,1982.0,BSFC Award,Won,en
Miguel Picazo,Sant Jordi Awards,1965.0,Sant Jordi,Won,es
Kathryn Bigelow,New York Film Critics Circle Awards,2009.0,NYFCC Award,Won,en
Len Wiseman,Rondo Hatton Classic Horror Awards,2003.0,Rondo Statuette,Nominated,en
Katherine Brooks,Long Island Film Festival,2006.0,Audience Choice Award,Won,en
Tran Anh Hung,Venice Film Festival,1995.0,Golden Lion,Won,vi
Robert Duvall,"Golden Globes, USA",2015.0,Golden Globe,Nominated,en
Emile Ardolino,Deauville Film Festival,1987.0,Critics Award,Nominated,en
Patrick Sheane Duncan,CableACE Awards,1989.0,ACE,Won,en
Burt Reynolds,Dallas-Fort Worth Film Critics Association Awards,1998.0,DFWFCA Award,Won,en
Arthur Luhn,Real to Reel Film and Video Festival,2011.0,Best of Show,Won,en
Nikos Nikolaidis,Fantasporto,1989.0,International Fantasy Film Award,Nominated,el
Narimane Mari,CPH:DOX,2014.0,Doc Alliance Award,Nominated,en
Samir,Abu Dhabi Film Festival,2014.0,Black Pearl Award,Nominated,en
Marina Rosset,Hiroshima International Animation Festival,2010.0,Grand Prix,Nominated,en
John Nelson,World Animation Celebration,1998.0,WAC Winner,Won,en
Ryoo Seung-wan,Vancouver International Film Festival,2000.0,Dragons and Tigers Award,Nominated,ko
Dean Stockwell,"Action on Film International Film Festival, USA",2008.0,Action on Film Award,Won,en
James Bobin,Primetime Emmy Awards,2008.0,Primetime Emmy,Nominated,en
Jamshed Usmonov,Tokyo FILMeX,2002.0,Grand Prize,Nominated,tg
Alec Baldwin,Monte-Carlo TV Festival,2011.0,Golden Nymph,Nominated,en
