director_name,ceremony,year,category,outcome,original_language
Jim Jarmusch,"Amanda Awards, Norway",1987.0,Amanda,Won,en
Neill Blomkamp,Satellite Awards,2009.0,Satellite Award,Nominated,en
Mirrah Iañez,FENACO International Shorts Film Festival,2014.0,Best International Short Film,Nominated,pt
Joanna Quinn,"Academy Awards, USA",1998.0,Oscar,Nominated,en
Robert De Niro,Berlin International Film Festival,2007.0,Silver Berlin Bear,Won,en
Danny Clinch,Grammy Awards,2009.0,Grammy,Nominated,en
Jaume Balagueró,Fantasia Film Festival,2008.0,Best European/North - South American Film,2nd place,es
Paul Verhoeven,Sant Jordi Awards,2017.0,Sant Jordi,Won,de
Andrew Cadelago,"New York International Children's Film Festival, US",2013.0,Audience Award Short Films,Won,en
Adolfo Marsillach,Goya Awards,1993.0,Goya,Nominated,en
Ron Silver,Primetime Emmy Awards,1988.0,Primetime Emmy,Nominated,en
Theodore Ushev,Genie Awards,2009.0,Genie,Nominated,en
Nanni Moretti,Guild of German Art House Cinemas,2002.0,Guild Film Award - Silver,Won,it
Stan Winston,"Academy of Science Fiction, Fantasy & Horror Films, USA",1982.0,Saturn Award,Nominated,en
Peter Tewksbury,Primetime Emmy Awards,1958.0,Primetime Emmy,Nominated,en
James Jones,Daytime Emmy Awards,2000.0,Daytime Emmy,Won,en
Abby Jack Neidik,Mannheim-Heidelberg International Filmfestival,1985.0,Interfilm Award,Won,en
Simon Pummell,Gijón International Film Festival,2003.0,Grand Prix Asturias,Nominated,en
Péter Gárdos,Moscow International Film Festival,2005.0,Golden St. George,Nominated,hu
Steve Loter,Daytime Emmy Awards,2001.0,Daytime Emmy,Nominated,en
Yuliya Solntseva,State Prize of Soviet Union - Stalinskaya Premia,1949.0,Stalinskaya Premia,Won,en
Stanley Kwan,Vesoul Asian Film Festival,2002.0,Golden Wheel,Won,cn
Peter Raymont,News & Documentary Emmy Awards,2007.0,Emmy,Won,en
Xacio Baño,New England Festival of Ibero-American Cinema,2013.0,Jury Prize,Won,en
Lynne Ramsay,Dinard British Film Festival,2002.0,Golden Hitchcock,Nominated,en
Alejandro Gamboa,"Ariel Awards, Mexico",2003.0,Silver Ariel,Nominated,es
Paul Reubens,Viewers for Quality Television Awards,1996.0,Q Award,Nominated,en
Anthony Wonke,"BAFTA Awards, Scotland",2013.0,BAFTA Scotland Award,Nominated,en
Neil Jordan,"Telluride Film Festival, US",1997.0,Silver Medallion Award,Won,en
Salvador García Ruiz,Turia Awards,1999.0,Turia Award,Won,es
Juan de Orduña,"Cinema Writers Circle Awards, Spain",1947.0,CEC Award,Won,es
Bobby Farrelly,Boston Society of Film Critics Awards,1998.0,BSFC Award,3rd place,en
Roland Hallé,"Student Academy Awards, USA",1980.0,Achievement Award,Won,en
Nikita Mikhalkov,David di Donatello Awards,1995.0,David,Nominated,ru
Ale Camargo,Cinema Brazil Grand Prize,2011.0,Cinema Brazil Grand Prize,Nominated,en
João Pedro Rodrigues,Coimbra Caminhos do Cinema Português,2006.0,Film Award,Won,pt
Yatao LI,"Mississippi International Film Festival, US",2014.0,Festival Award,Nominated,en
Alan Poul,News & Documentary Emmy Awards,1993.0,Emmy,Won,en
Grant Heslov,New York International Independent Film & Video Festival,1998.0,Short Film Award,Won,en
William H. Macy,Screen Actors Guild Awards,1997.0,Actor,Nominated,en
Ryoo Seung-wan,Director's Cut Awards,2010.0,Director's Cut Award,Won,ko
Saskia Diesing,Nederlands Film Festival,2014.0,Golden Calf,Nominated,nl
Fernando León de Aranoa,Torino Film Festival,1998.0,Prize of the City of Torino,Nominated,es
Hisko Hulsing,Woodstock Film Festival,2012.0,Best Animation,Won,en
Daoud Aoulad-Syad,Nantes Three Continents Festival,2001.0,Young Audience Award,Won,ar
Raphael Siboni,Jihlava International Documentary Film Festival,2012.0,Best World Documentary,Nominated,en
Tom Hardy,Seattle Film Critics Awards,2016.0,Seattle Film Critics Award,Nominated,en
James Schamus,Awards Circuit Community Awards,1997.0,ACCA,Nominated,en
