director_name,ceremony,year,category,outcome,original_language
Ryan Murphy,"Directors Guild of America, USA",2015.0,DGA Award,Nominated,en
Jan P. Matuszyński,Lisbon & Estoril Film Festival,2016.0,TAP Revelation Award,Won,pl
Russell Crowe,Hollywood Film Awards,2000.0,Actor of the Year,Won,en
Leslie McCleave,Philafilm - Philadelphia International Film Festival,1996.0,Silver Award,Won,en
Carlos Marcovich,Toulouse Latin America Film Festival,1998.0,Special Mention,Won,en
Anwar Safa,Guadalajara International Film Festival,2015.0,FEISAL Award,Won,en
Roberto Farias,Biarritz International Festival of Latin American Cinema,2008.0,Best Actor,Won,pt
Pete Docter,Online Film & Television Association,2009.0,OFTA Film Award,Won,en
Tim Burton,Annie Awards,2006.0,Annie,Nominated,en
D. Kerry Prior ,New York City Horror Film Festival,2009.0,Best Director,Won,en
Ralston Jover,Cinemalaya Independent Film Festival,2009.0,NETPAC Award,Won,en
Michael B. Clifford,BAFTA Awards,2003.0,BAFTA Film Award,Nominated,en
Simon Ellis,Geneva International Film Festival - Tous Écrans,2007.0,Best Short Film,Won,en
Ruben Arthur Nicdao,Star Awards for Movies,2017.0,Star Award,Won,en
Anya Leta,First Run Festival,2015.0,Audience Award,Won,en
Santiago Mitre,Cairo International Film Festival,2015.0,Golden Pyramid,Nominated,es
Paul Dinello,PGA Awards,2014.0,PGA Award,Won,en
Pedro Almodóvar,Los Angeles Film Critics Association Awards,1987.0,New Generation Award,Won,es
José María Martín Sarmiento,"César Awards, France",1983.0,César,Nominated,es
Mark Romanek,Tokyo International Film Festival,2010.0,Tokyo Grand Prix,Nominated,en
Josef Fares,Nordic Council,2006.0,Nordic Council's Film Prize,Won,sv
Laurie Hill,Dresden Film Festival,2010.0,Golden Horseman,Nominated,en
Derek Lee Nixon,"Starlite Film Festival, US",2012.0,Jury Prize,Won,en
Sharon Maymon,Venice Film Festival,2014.0,Brian Award,Won,de
John Williams,Online Film & Television Association,2012.0,OFTA Film Award,Nominated,en
Laurent Cantet,Film Independent Spirit Awards,2003.0,Independent Spirit Award,Nominated,en
Daniel Burman,Oslo Films from the South Festival,2014.0,Films from the South Award,Nominated,es
Gary Mairs,Lume International Film Festival,2012.0,Jury Award,Nominated,en
Fred Schepisi,Cannes Film Festival,1989.0,Palme d'Or,Nominated,en
Birger Larsen,BAFTA Awards,2011.0,BAFTA TV Award,Won,da
Janusz Kamiński,Film Independent Spirit Awards,2008.0,Independent Spirit Award,Won,en
Rachel Weisz,BAFTA Awards,2006.0,BAFTA Film Award,Nominated,en
Luciana Burlamaqui,Warsaw International Film Festival,2010.0,Best Documentary,Nominated,pt
Álex Montoya,Turia Awards,2013.0,Turia Award,Won,en
Jonas Govaerts,Joseph Plateau Awards,2006.0,Joseph Plateau Award,Won,en
Maria Guskova,Villeurbanne Short Film Festival,2015.0,Grand Prix,Won,ru
John Turturro,Cannes Film Festival,1991.0,Best Actor,Won,en
Guillermo Arriaga,Amiens International Film Festival,2011.0,Audience Award,Won,en
