director_name,ceremony,year,category,outcome,original_language
Jacques Becker,French Syndicate of Cinema Critics,1951.0,Critics Award,Won,fr
Stephane Riethauser,New York City Short Film Festival,2012.0,Audience Award,Nominated,en
Krsto Papić,Fantasporto,1982.0,International Fantasy Film Award,Won,hr
Matthew Bate,CPH:DOX,2010.0,Short Dox Award,Nominated,en
Robert Menegoz,"Academy Awards, USA",1971.0,Oscar,Nominated,en
Laurent Cantet,San Sebastián International Film Festival,1999.0,Best New Director,Won,en
Joel Coen,"Empire Awards, UK",2004.0,Empire Award,Nominated,en
Donald Brittain,Genie Awards,1980.0,Genie,Won,en
Anne Pick,Gemini Awards,2004.0,Gemini,Nominated,en
Takashi Yamazaki,Awards of the Japanese Academy,2015.0,Award of the Japanese Academy,Won,ja
Beyoncé Knowles,BET Comedy Awards,2004.0,BET Comedy Award,Nominated,en
Hiromasa Yonebayashi,International Online Cinema Awards (INOCA),2015.0,Halfway Award,Nominated,ja
Kriv Stenders,Australian Film Institute,2005.0,AFI Award,Nominated,en
Kanye West,Brit Awards,2006.0,Brit,Nominated,en
Harmony Korine,Indiewire Critics' Poll,2013.0,ICP Award,Nominated,en
Louis C.K.,Gay and Lesbian Entertainment Critics Association (GALECA),2012.0,Dorian Award,Nominated,en
Jim Jarmusch,New York Film Festival,2013.0,Grand Marnier Fellowship Award,Nominated,en
Shivajee Chandrabhushan,Granada Film Festival Cines del Sur,2008.0,Silver Alhambra,Won,en
Thomas Gibson,Online Film & Television Association,1999.0,OFTA Television Award,Nominated,en
Alan Alda,"Golden Globes, USA",1982.0,Golden Globe,Won,en
Nicolas Winding Refn,Robert Festival,2012.0,Robert,Won,en
Stuart Gilmore,"American Cinema Editors, USA",1971.0,Eddie,Nominated,en
Marc Wilkins,Palm Springs International ShortFest,2016.0,Jury Award,Won,en
Steven Zaillian,"Writers Guild of America, USA",1999.0,WGA Award (Screen),Nominated,en
Federico Fellini,Venice Film Festival,1954.0,OCIC Award - Honorable Mention,Won,it
Augusto Salvador,FAMAS Awards,1979.0,FAMAS Award,Won,en
