director_name,ceremony,year,category,outcome,original_language
Imanol Uribe,"Autores Awards, Portugal",2012.0,Prémio Autores,Won,en
Malcolm D. Lee,Black Reel Awards,2014.0,Black Reel,Nominated,en
Olivier Assayas,FICE - Federazione Italiana Cinema d'Essai,2012.0,FICE Award,Won,en
Till Nowak,Alpinale European Film Festival,2016.0,Golden Unicorn,Won,en
Ognjen Sviličić,Paris Cinema,2007.0,Young Filmmaker Award,Won,en
Olli Saarela,Jussi Awards,2000.0,Jussi,Won,fi
Rune Denstad Langlo,Tribeca Film Festival,2015.0,Jury Award,Nominated,no
Afia Nathaniel,Gotham Awards,2013.0,Spotlight on Women Filmmakers 'Live the Dream' Grant,Nominated,ur
Elisabeth Haviland James,News & Documentary Emmy Awards,2013.0,Emmy,Won,en
S. Pierre Yameogo,Namur International Festival of French-Speaking Film,1998.0,Procirep Award,Won,en
Luciano Tovoli,Palm Springs International Film Festival,2001.0,Da Vinci Cinematographer's Award,Won,it
John Crowley,"Twin Cities Film Fest, US",2015.0,Audience Award,Won,en
Vasili Sigarev,Russian Guild of Film Critics,2013.0,White Elephant,Nominated,ru
Antonio Tibaldi,St. Louis International Film Festival,2013.0,Best Short Award,Nominated,en
Tom Fassaert,Biografilm Festival,2016.0,Best Film Unipol Award,Won,en
Amanda Forbis,Annecy International Animated Film Festival,2007.0,Advertising or Promotional Film Award,Won,en
Wes Anderson,Satellite Awards,2012.0,Satellite Award,Nominated,en
Sanna Lenken,Lecce Festival of European Cinema,2015.0,FIPRESCI Prize,Won,sv
Les Blair,Evening Standard British Film Awards,1994.0,Peter Sellers Award for Comedy,Won,en
Daniel Guzmán,Turia Awards,2016.0,Turia Award,Won,es
Muriel Coulin,Cannes Film Festival,2016.0,Un Certain Regard - Screenplay Prize,Won,fr
William Nicholson,BAFTA Awards,1989.0,BAFTA TV Award,Nominated,en
Flavio Alves,Long Island International Film Expo,2015.0,Jury Award,Nominated,en
Han  Jie,Taipei Film Festival,2006.0,International New Talent Competition - Grand Prize,Nominated,zh
Christian Klandt,Warsaw International Film Festival,2012.0,Competition 1-2 Award,Nominated,de
Luis Estrada,"Ariel Awards, Mexico",2000.0,Silver Ariel,Nominated,es
Evan Oppenheimer,Tribeca Film Festival,2005.0,Jury Award,Nominated,en
Jim Sheridan,"Academy Awards, USA",1994.0,Oscar,Nominated,en
Anders Walter,Robert Festival,2016.0,Robert,Nominated,en
Ritesh Batra,Oslo Films from the South Festival,2013.0,Films from the South Award,Nominated,en
Ben Tishler,Sports Emmy Awards,2006.0,Emmy,Nominated,en
Jean-Jacques Annaud,Flaiano International Prizes,2001.0,Career Award,Won,en
Aleksey Balabanov,Istanbul International Film Festival,1999.0,Special Prize of the Jury,Won,ru
Mark Dornford-May,Warsaw International Film Festival,2006.0,Grand Prix,Nominated,en
Jennifer M. Kroot,Nashville Film Festival,2017.0,SPECTRUM Audience Award,Won,en
Semih Kaplanoğlu,Istanbul International Film Festival,2008.0,Golden Tulip,Won,en
Bertrand Tavernier,Viareggio EuropaCinema,1989.0,EuropaCinema Platinum Award,Won,fr
Māris Martinsons,Latvian National Film Festival,2009.0,Latvian Film Prize,Won,en
Juan Carlos Fresnadillo,Fantasporto,2003.0,International Fantasy Film Award,Won,en
Affonso Beato,Cinema Brazil Grand Prize,2000.0,Cinema Brazil Grand Prize,Won,pt
Egidio Eronico,Locarno International Film Festival,1988.0,Golden Leopard,Nominated,pt
Joel Lamangan,Gawad Urian Awards,2007.0,Gawad Urian Award,Nominated,en
