director_name,ceremony,year,category,outcome,original_language
Amy Neil,"BAFTA Awards, Scotland",2005.0,BAFTA Scotland Award,Won,en
Peter Flinth,Robert Festival,2002.0,Robert,Nominated,sv
Raoul Peck,Cannes Film Festival,2000.0,C.I.C.A.E. Award,Nominated,en
Malcolm Goodwin,Kansas International Film Festival,2013.0,Audience Award,Won,en
Esteban Larraín,Fribourg International Film Festival,2000.0,Political Press Jury Award,Won,en
Michael Keaton,Southeastern Film Critics Association Awards,2014.0,SEFCA Award,2nd place,en
Stanisław Różewicz,Polish Film Festival,1975.0,Special Jury Prize,Won,pl
Walter Carvalho,Cinema Brazil Grand Prize,2013.0,Cinema Brazil Grand Prize,Nominated,pt
Kerem Sanga,Anchorage International Film Festival,2016.0,Best Feature,2nd place,en
Darko Lungulov,Nashville Film Festival,2015.0,Grand Jury Prize,Won,en
Eric Guirado,Brest European Short Film Festival,2000.0,Audience Award,Won,fr
Matt Walsh,Newport Beach Film Festival,2011.0,Achievement Award,Won,en
Igor Drljaca,"Canadian Screen Awards, CA",2015.0,Canadian Screen Award,Nominated,en
Evan Leong,Zurich Film Festival,2013.0,Golden Eye,Nominated,en
Tod Browning,"Directors Guild of America, USA",1948.0,DGA Honorary Life Member Award,Won,en
Peter Pau,BAFTA Awards,2001.0,BAFTA Film Award,Nominated,en
Céline Sciamma,Athens International Film Festival,2007.0,Audience Award,Won,fr
Bradley Liew,Venice Film Festival,2016.0,Audience Award (Critics' Week),Nominated,en
Aleksey Uchitel,Sochi Open Russian Film Festival,1995.0,Grand Prize of the Festival,Nominated,en
Per Fly,Flaiano Film Festival,2004.0,Best Screenplay,Won,da
Francesco Maselli,David di Donatello Awards,1987.0,David,Nominated,it
David O. Russell,Chicago Film Critics Association Awards,2013.0,CFCA Award,Nominated,en
Rituparno Ghosh,Bombay International Film Festival,2002.0,FIPRESCI Prize,Won,en
Herbert Moulton,"Academy Awards, USA",1946.0,Oscar,Won,en
Oriol Paulo,José María Forqué Awards,2014.0,José María Forqué Award,Nominated,es
Roland Suso Richter,Montréal World Film Festival,2000.0,Grand Prix des Amériques,Nominated,de
Jared Leto,Iowa Film Critics Awards,2014.0,IFC Award,Nominated,en
Zhao Wei,Asian Television Awards,2015.0,Asian Television Award,Nominated,zh
Saul Metzstein,Hugo Awards,2014.0,Hugo,Nominated,en
George Pal,"Academy Awards, USA",1947.0,Oscar,Nominated,en
Ryan Badalamenti,New York International Independent Film & Video Festival,2007.0,Genre Award,Won,en
Peter DeLuise,Leo Awards,2005.0,Leo,Nominated,en
Ulrike Ottinger,German Film Critics Association Awards,2008.0,German Film Critics Award,Won,en
João César Monteiro,Venice Film Festival,1981.0,Golden Lion,Nominated,pt
Avishai Sivan,Jerusalem Film Festival,2015.0,Pirchi Family Award,Won,en
Maurice Capovila,Brazilia Festival of Brazilian Cinema,1970.0,Candango Trophy,Won,pt
Jake Mahaffy,Gotham Awards,2008.0,Gotham Independent Film Award,Nominated,en
Alceu Valença,Cinema Brazil Grand Prize,2017.0,Cinema Brazil Grand Prize,Nominated,pt
Alexander Payne,Boston Society of Film Critics Awards,1999.0,BSFC Award,2nd place,en
Dehanza Rogers,Atlanta Film Festival,2013.0,Audience Award,Won,en
Juho Kuosmanen,Jussi Awards,2011.0,Jussi,Nominated,fi
Tim Trageser,Studio Hamburg Newcomer Award,2001.0,Studio Hamburg Newcomer Award,2nd place,de
José Eduardo Belmonte,Cine Ceará - National Cinema Festival,2009.0,Feature Film Trophy,Won,pt
Yoshimitsu Morita,Blue Ribbon Awards,2004.0,Blue Ribbon Award,Won,ja
Goldie Hawn,TV Land Awards,2007.0,TV Land Award,Won,en
JP Siili,Venla Awards,2005.0,Special Venla,Won,fi
Steven Spielberg,BAFTA Awards,1979.0,BAFTA Film Award,Nominated,en
Ruth Mader,Torino Film Festival,2003.0,Cipputi Award - Special Mention,Won,en
Aleksandr Proshkin,Moscow International Film Festival,2009.0,Special Jury Prize,Won,ru
Paul Dano,Film Independent Spirit Awards,2007.0,Independent Spirit Award,Nominated,en
Billy Wilder,BAFTA Awards,1995.0,Academy Fellowship,Won,en
Simon Bogojevic-Narath,Annecy International Animated Film Festival,2008.0,The Annecy Cristal,Nominated,en
F. Gary Gray,BET Comedy Awards,2005.0,BET Comedy Award,Nominated,en
Eric Marquis,BAFTA Awards,1971.0,BAFTA Film Award,Nominated,en
Evgeny Afineevsky,WorldFest Houston,2008.0,Gold Award,Won,en
Martín Rosete,Ourense Independent Film Festival,2003.0,Special Mention,Won,en
Michal Kosakowski,Chicago Underground Film Festival,2012.0,Audience Choice Award,Won,en
Emmanuelle Bercot,Cannes Film Festival,2001.0,Un Certain Regard Award,Nominated,fr
Nuria Leon Bernado,Sophia Awards,2016.0,Sophia,Won,pt
