director_name,ceremony,year,category,outcome,original_language
Orlow Seunke,Venice Film Festival,1985.0,Golden Lion,Nominated,nl
Nicolás Echevarría,Chicago International Film Festival,2014.0,Gold Hugo,Won,en
Lee Chang-dong,Asia Pacific Screen Awards,2010.0,Asia Pacific Screen Award,Won,ko
Pavel G. Vesnakov,European Film Awards,2014.0,European Film Award,Nominated,bg
Anjelica Huston,Women in Film Crystal Awards,1996.0,Crystal Award,Won,en
Tommy Wirkola,Rondo Hatton Classic Horror Awards,2014.0,Rondo Statuette,Nominated,en
Matt Mercer,GenreBlast Film Festival,2017.0,GenreBlast Film Festival Award,Nominated,en
Agnieszka Holland,Polish Film Awards,2004.0,Eagle,Nominated,en
Antonio Carlos da Fontoura,Fantasporto,1987.0,International Fantasy Film Award,Nominated,pt
Gracia Querejeta,"Cinema Writers Circle Awards, Spain",1997.0,CEC Award,Won,es
Harrison Engle,Western Heritage Awards,1987.0,Bronze Wrangler,Won,en
Eric Till,Genie Awards,1980.0,Genie,Nominated,en
Francesco Rosi,"Golden Goblets, Italy",1997.0,Career Goblet,Won,it
Maeve Murphy,Garden State Film Festival,2010.0,International Winner,Won,en
Matthew Moore,Hamburg International Short Film Festival,2012.0,Friese Award,Won,en
Valeria Golino,Taormina International Film Festival,2006.0,Best Actress,Won,en
Tetsuya Nakashima,Asian Film Awards,2011.0,Asian Film Award,Nominated,ja
Guadalupe Sanchez Sosa,"Ariel Awards, Mexico",2009.0,Silver Ariel,Nominated,es
Freddie Francis,British Society of Cinematographers,1997.0,BSC Lifetime Achievement Award,Won,en
Paul Guilfoyle,Screen Actors Guild Awards,2005.0,Actor,Won,en
Toby Wilkins,Screamfest,2005.0,Festival Trophy,Won,en
Kari Juusonen,Cannes Film Festival,2001.0,Palme d'Or - Best Short Film,Nominated,en
Amanda Forbis,Cleveland International Film Festival,2000.0,Process Award for Visual Excellence,Won,en
Agustín Crespi,Gaudí Awards,2015.0,Gaudí Award,Nominated,es
Louise Archambault,Palm Springs International Film Festival,2006.0,New Voices/New Visions Grand Jury Prize,Nominated,en
Mario Martone,David di Donatello Awards,2015.0,David,Nominated,it
Emmanuel Dela Cruz,Gawad Urian Awards,2007.0,Gawad Urian Award,Nominated,en
Diego López Rivera,"Ariel Awards, Mexico",1987.0,Golden Ariel,Nominated,en
Ognjen Glavonić,São Paulo International Film Festival,2016.0,International Jury Award,Nominated,en
Michael Steiner,Swiss Film Prize,2007.0,Swiss Film Prize,Nominated,de
Luis Cook,Tallinn Black Nights Film Festival,2007.0,Animated Dreams Special Mention,Won,en
Todd Field,New York Film Critics Circle Awards,2001.0,NYFCC Award,Won,en
Robert Eggers,Online Film & Television Association,2017.0,OFTA Film Award,Nominated,en
Mi-sen Wu,Fribourg International Film Festival,2003.0,Don Quixote Award - Special Mention,Won,zh
Mario O'Hara,Cinemanila International Film Festival,2004.0,Lino Brocka Award,Nominated,en
Aleksei Popogrebsky,Moscow International Film Festival,2003.0,Golden St. George,Nominated,en
Δημήτρης Σταύρακας,Thessaloniki Film Festival,1979.0,Hellenic Association of Film Critics Award,Won,el
Jim Parsons,"Golden Globes, USA",2014.0,Golden Globe,Nominated,en
Stefano Tummolini,Torino International Festival of Young Cinema,1997.0,Prize of the City of Torino,Nominated,it
Theo Solnik,Duisburg Film Week,2011.0,Promotional Award of the City of Duisburg,Won,en
Saeed Akhtar Mirza,Filmfare Awards,1979.0,Filmfare Award,Won,hi
Laurent Charbonnier,Chlotrudis Awards,2004.0,Chlotrudis Award,Nominated,en
Niccolò Castelli,Zlín International Film Festival for Children and Youth,2013.0,Best European Debut Film,Nominated,it
Brendan Maher,Australian Film Institute,2003.0,AFI Award,Won,en
Mark Mothersbaugh,BMI Film & TV Awards,2004.0,Richard Kirk Career Achievement Award,Won,en
Ringo Starr,"Academy Awards, USA",1971.0,Oscar,Won,en
Joshua Marston,Hamptons International Film Festival,2011.0,Golden Starfish Award,Nominated,en
Vivian Qu,Toronto International Film Festival,2013.0,Discovery Award,Nominated,cn
Gabriela Cowperthwaite,International Documentary Association,2013.0,IDA Award,Nominated,en
PES,"Academy Awards, USA",2013.0,Oscar,Nominated,en
Mong-Hong Chung,Taipei Film Festival,2009.0,International New Talent Competition - Grand Prize,Nominated,zh
David Webb Peoples,"Golden Globes, USA",1993.0,Golden Globe,Nominated,en
Barry Jenkins,Mar del Plata Film Festival,2008.0,Best Film,Nominated,en
Scott Foley,Teen Choice Awards,1999.0,Teen Choice Award,Nominated,en
Malik Bendjelloul,Durban International Film Festival,2012.0,Audience Award,Won,en
Kari Skogland,Slamdance Film Festival,1997.0,Grand Jury Prize,Nominated,en
Aki Kaurismäki,Reykjavik International Film Festival,2011.0,RIFF Audience Award,Won,fi
Rene Naufahu,New Zealand Film and TV Awards (II),2014.0,Film Award,Nominated,en
Buddy Van Horn,Golden Boot Awards,2006.0,Golden Boot,Won,en
Tobias Suhm,German Camera Award,2006.0,Promotional Award,Won,en
Graeme Clifford,BAFTA Awards,1974.0,BAFTA Film Award,Nominated,en
Hossein Amini,USC Scripter Award,1998.0,USC Scripter Award,Nominated,en
Benjamin Dickinson,SXSW Film Festival,2014.0,SXSW Grand Jury Award,Nominated,en
Maxim Pozdorovkin,Palm Springs International ShortFest,2016.0,Best Documentary Short,Won,en
Justin Dec,WorldFest Houston,2009.0,Platinum Award,Won,en
Juno Mak,Gérardmer Film Festival,2014.0,Special Jury Prize,Won,cn
Nikita Mikhalkov,Film Independent Spirit Awards,1993.0,Independent Spirit Award,Nominated,ru
George Clooney,"Writers Guild of America, USA",2006.0,WGA Award (Screen),Nominated,en
David Yates,"Empire Awards, UK",2012.0,Empire Award,Won,en
Paul Andrew Williams,London Critics Circle Film Awards,2007.0,ALFS Award,Nominated,en
Martín Sastre,Argentinean Film Critics Association Awards,2011.0,Silver Condor,Nominated,es
Paul Negoescu,Sarajevo Film Festival,2010.0,Heart of Sarajevo,Nominated,en
Agnès Varda,Seville European Film Festival,2012.0,Special Award,Won,fr
Erkko Kivikoski,Jussi Awards,1973.0,Jussi,Won,en
Julio Médem,Gramado Film Festival,1999.0,Kikito Critics Prize,Won,es
Richard Schickel,Primetime Emmy Awards,1987.0,Primetime Emmy,Nominated,en
Steve Buscemi,Village Voice Film Poll,2001.0,VVFP Award,Won,en
Matt Barber,Damah Film Festival,2009.0,Best Film,3rd place,en
Heinz Rühmann,Venice Film Festival,1938.0,Special Recommendation,Won,de
Ryan Gosling,Screen Actors Guild Awards,2008.0,Actor,Nominated,en
Mike Olenick,Ann Arbor Film Festival,2004.0,Honorable Mention,Won,en
George Roy Hill,Primetime Emmy Awards,1957.0,Primetime Emmy,Nominated,en
Bestor Cram,New York Lesbian and Gay Film Festival,1997.0,Best Documentary,Won,en
Arne Toonen,Rembrandt Awards,2011.0,Rembrandt Award,Nominated,nl
Derek Vanlint,British Society of Cinematographers,1979.0,Best Cinematography Award,Nominated,en
Nitin Chandrakant Desai,Awards of the International Indian Film Academy,2009.0,Award for Technical Excellence,Won,hi
Richard Linklater,Gold Derby Awards,2015.0,Gold Derby Award,Won,en
Joachim Back,Tribeca Film Festival,2010.0,Jury Award,Nominated,en
Roberts Gannaway,Humanitas Prize,1997.0,Humanitas Prize,Nominated,en
Stuart Blumberg,Denver Film Critics Society,2011.0,DFCS Award,Nominated,en
Pedro Solís García,Galaxy Film Awards,2016.0,Galaxy Film Award,Won,es
David Jason,BAFTA Awards,1991.0,BAFTA TV Award,Won,en
Farhan Akhtar,Zee Cine Awards,2002.0,Popular Award,Won,hi
Robert Guédiguian,Valladolid International Film Festival,2000.0,Golden Spike,Won,fr
Dan Curtis,Western Heritage Awards,1980.0,Bronze Wrangler,Won,en
Karen Black,The Stinkers Bad Movie Awards,2003.0,Stinker Award,Won,en
Bruce Webb,Dresden Film Festival,2006.0,Best Short Film,Nominated,en
Ben Drew,British Independent Film Awards,2012.0,Douglas Hickox Award,Nominated,en
Jonas Mekas,San Francisco International Film Festival,1992.0,Mel Novikoff Award,Won,en
William Monahan,"Academy Awards, USA",2007.0,Oscar,Won,en
Andreas Öhman,Palm Springs International Film Festival,2011.0,Audience Award,2nd place,sv
Ellen DeGeneres,Gold Derby Awards,2007.0,Gold Derby TV Award,Won,en
Jeanine Meerapfel,Berlin International Film Festival,1985.0,Interfilm Award - Otto Dibelius Film Award,Won,en
Pablo Trapero,Valladolid International Film Festival,1999.0,Golden Spike,Nominated,es
Bert Convy,Daytime Emmy Awards,1975.0,Daytime Emmy,Nominated,en
Paul Seydor,"Academy Awards, USA",1997.0,Oscar,Nominated,en
Robert Benton,"National Society of Film Critics Awards, USA",1968.0,NSFC Award,Won,en
Richard Linklater,Awards Circuit Community Awards,2014.0,ACCA,2nd place,en
George Clooney,Blockbuster Entertainment Awards,2000.0,Blockbuster Entertainment Award,Won,en
Mauricio Osaki,Brussels Short Film Festival,2014.0,Grand Prix,Won,en
Kazik Radwanski,Chicago International Film Festival,2014.0,Gold Hugo,Nominated,en
R. Kelly,Black Reel Awards,2001.0,Black Reel,Nominated,en
Zach Braff,Teen Choice Awards,2002.0,Teen Choice Award,Nominated,en
Ugo Gregoretti,Italian National Syndicate of Film Journalists,2010.0,Honorary Ribbon,Won,it
Ang Lee,David di Donatello Awards,2006.0,David,Nominated,en
Aaron Sorkin,Toronto Film Critics Association Awards,2011.0,TFCA Award,Won,en
Daniel Minahan,Edgar Allan Poe Awards,2002.0,Edgar,Nominated,en
Johnny Symons,San Francisco International Film Festival,2002.0,Golden Gate Award,Won,en
Ethan Coen,Awards Circuit Community Awards,2007.0,ACCA,Won,en
Byambasuren Davaa,Munich Film Festival,2005.0,Audience Award,Won,mn
Joanna Lee,Daytime Emmy Awards,1990.0,Daytime Emmy,Nominated,en
Yee Chung-Man,Hong Kong Film Awards,2004.0,Hong Kong Film Award,Nominated,cn
Brian Cox,"AFI Awards, USA",2002.0,AFI Award,Nominated,en
Danny Huston,Montréal World Film Festival,2011.0,Best Actor,Won,en
Esteban Crespo,Goya Awards,2013.0,Goya,Won,es
Peter Riegert,Screen Actors Guild Awards,2001.0,Actor,Won,en
Barbara Bredero,Cinekid,2012.0,Audience Award,Won,nl
Uberto Pasolini,Venice Film Festival,2008.0,Label Europa Cinemas,Won,en
Abdelkrim Bahloul,Chicago International Film Festival,1984.0,Gold Hugo,Nominated,en
Heiki Ernits,"Cartoon Forum, Europe",2004.0,Cartoon d'Or,Nominated,et
Felice Farina,Annecy Italian Cinema Festival,1991.0,Audience Award,Won,it
Nuri Bilge Ceylan,Dubai International Film Festival,2011.0,Muhr AsiaAfrica Award,Nominated,tr
Klaus Kinski,Cartagena Film Festival,1980.0,Golden Pelican,Won,it
Enda Hughes,Brussels International Film Festival,1998.0,Canal+ Prize for Best European Short Film,Won,en
Cindy Sherman,Locarno International Film Festival,1997.0,Golden Leopard,Nominated,en
Cherien Dabis,Aspen Shortsfest,2007.0,BAFTA/LA Award for Excellence - Honorable Mention,Won,en
Bruno Monsaingeon,Biarritz International Festival of Audiovisual Programming,1998.0,Golden FIPA,Won,en
Dean Fleischer-Camp,AFI Fest,2013.0,Grand Jury Prize,Nominated,en
Shirô Moritani,Awards of the Japanese Academy,1978.0,Award of the Japanese Academy,Nominated,ja
Eugene Fedorenko,Genie Awards,2001.0,Genie,Won,en
Jacques Perconte,Jihlava International Documentary Film Festival,2011.0,Best Experimental Documentary,Nominated,en
Leo McCarey,"Golden Globes, USA",1945.0,Golden Globe,Won,en
Abderrahmane Sissako,Cinema for Peace Awards,2015.0,Cinema for Peace Award,Won,fr
Krzysztof Zanussi,Polish Film Awards,2006.0,Eagle,Nominated,pl
Ryan Eggold,Queens World Film Festival,2012.0,Jury Award,Won,en
Fernando Meirelles,Marrakech International Film Festival,2002.0,Golden Star,Nominated,pt
Pierre Schöller,Cannes Film Festival,2008.0,Un Certain Regard Award,Nominated,fr
Daniela Thomas,"Prêmio Contigo Cinema, Brazil",2009.0,Jury Award,Nominated,pt
Emmanuel Naccache,Jerusalem Film Festival,2007.0,Wolgin Award,Nominated,en
Alessio Rigo de Righi,Rotterdam International Film Festival,2016.0,Bright Future Award,Nominated,en
Greg McLean,Nocturna Madrid International Fantastic Film Festival,2014.0,Nocturna Best Director Award,Won,en
Massimo Natale,Santa Barbara International Film Festival,2016.0,Jury Award,Nominated,it
Uruphong Raksasad,Nantes Three Continents Festival,2006.0,Golden Montgolfiere,Nominated,th
Juliana Rojas,Locarno International Film Festival,2017.0,Golden Leopard,Nominated,pt
Denzel Washington,Black Reel Awards,2017.0,Black Reel,Nominated,en
Doug Campbell,Gemini Awards,2009.0,Gemini,Nominated,en
Francesco Laudadio,Torino International Festival of Young Cinema,1995.0,Best Italian Short Film of the Year - Special Mention,Won,it
JR,International Cinephile Society Awards,2007.0,ICS Award,2nd place,en
René Féret,Chicago International Film Festival,2010.0,Gold Hugo,Nominated,fr
Linus Torell,Vancouver International Film Festival,2007.0,Kyoto Planet Climate for Change Award,Won,en
Ken Watanabe,Phoenix Film Critics Society Awards,2004.0,PFCS Award,Nominated,en
Markus Blunder,Molins de Rei Horror Film Festival,2014.0,Jury Prize,Won,en
Shane Meadows,Bangkok International Film Festival,2007.0,Golden Kinnaree Award,Nominated,en
John Lee,Black Reel Awards,2010.0,Black Reel,Nominated,en
Vanessa Redgrave,AARP Movies for Grownups Awards,2014.0,Movies for Grownups Award,Nominated,en
Clem Beauchamp,"Academy Awards, USA",1936.0,Oscar,Won,en
George C. Scott,"Golden Globes, USA",1972.0,Golden Globe,Nominated,en
André Novais Oliveira,Buenos Aires International Festival of Independent Cinema,2015.0,Special Jury Prize,Won,pt
Torstein Grude,International Documentary Association,2013.0,IDA Award,Nominated,en
Martin Sheen,Primetime Emmy Awards,2006.0,Primetime Emmy,Nominated,en
Antti Jokinen,Jussi Awards,2013.0,Jussi,Nominated,en
Pier Luigi Pizzi,Italian National Syndicate of Film Journalists,1975.0,Silver Ribbon,Nominated,it
Geoffrey Reeve,CableACE Awards,1984.0,ACE,Nominated,en
Marwan Hamed,Cairo National Festival for Egyptian Cinema,2007.0,Horus Award,Won,ar
Wasis Diop,International Biennal for Film Music,1999.0,International Prize for Film and Media Music - Special Mention,Won,en
Yeşim Ustaoğlu,Valladolid International Film Festival,1999.0,Jury Special Prize,Won,tr
Mark Burton,Nantucket Film Festival,2015.0,Audience Award,2nd place,en
William Wyler,"Academy Awards, USA",1941.0,Oscar,Nominated,en
Anne Fontaine,Seattle International Film Festival,2016.0,Golden Space Needle Award,Nominated,fr
Brian W. Cook,Dinard British Film Festival,2005.0,Golden Hitchcock,Nominated,en
Mike Yurinko,"The Indie Horror Film Festival, Chicago, US",2016.0,Best Feature,Nominated,en
Newton Thomas Sigel,International Online Cinema Awards (INOCA),2012.0,INOCA,Nominated,en
Susan Werbe,Primetime Emmy Awards,2009.0,Primetime Emmy,Won,en
David Wenham,Gemini Awards,2007.0,Gemini,Nominated,en
Bertrand Tavernier,"César Awards, France",1982.0,César,Nominated,fr
Cary Fukunaga,Cinema for Peace Awards,2016.0,Cinema for Peace Award,Won,en
Robert De Niro,"Golden Camera, Germany",2008.0,Golden Camera for Lifetime Achievement,Won,en
Amy Seimetz,Gotham Awards,2010.0,Gotham Independent Film Award,Nominated,en
Oliver Laxe,Buenos Aires International Festival of Independent Cinema,2017.0,Best Feature Film - Avant-Garde and Genre,Nominated,ar
Tom Hanks,Awards Circuit Community Awards,1993.0,ACCA,Won,en
Nariman Turebayev,Nantes Three Continents Festival,2003.0,Golden Montgolfiere,Nominated,en
Sabrina Greve,Brazilia Festival of Brazilian Cinema,2001.0,Candango Trophy,Won,pt
Axelle Carolyn,Fantasporto,2014.0,International Fantasy Film Award,Nominated,en
Lucky Kuswandi,Jogja-NETPAC Asian Film Festival,2015.0,Blencong Award,Nominated,en
Chris Rock,Primetime Emmy Awards,1997.0,Primetime Emmy,Nominated,en
Martin Turk,Slovene Film Festival,2009.0,Slovene Film Critics Association Award,Won,sl
This Lüscher,Montréal World Film Festival,2015.0,Grand Prix des Amériques,Nominated,de
Angelo Orlando,Prague Independent Film Festival,2016.0,Golden Statuette,Won,it
Franco Amurri,Italian National Syndicate of Film Journalists,1988.0,Silver Ribbon,Won,it
Aaron Sorkin,"Writers Guild of America, USA",2016.0,WGA Award (Screen),Nominated,en
Ethan Coen,Russian Guild of Film Critics,2008.0,White Elephant,Won,en
Rick Stevenson,Ojai Film Festival,2006.0,Honorable Mention,Won,en
Walter Matthau,Laurel Awards,1967.0,Golden Laurel,Won,en
Nadine Labaki,San Sebastián International Film Festival,2007.0,Sebastiane Award,Won,ar
Márcio Laranjeira,IndieLisboa International Independent Film Festival,2011.0,SIGNIS Award,Won,pt
Jaime Fernández,Goya Awards,2000.0,Goya,Nominated,en
Mira Nair,"César Awards, France",1989.0,César,Nominated,en
Stefan Jäger,Max Ophüls Festival,2001.0,Screenplay Award,Won,en
Ciarán Tanham,Irish Film and Television Awards,2008.0,IFTA Award,Nominated,en
Jonas Carpignano,Haifa International Film Festival,2015.0,Carmel Award,Nominated,en
Josef von Báky,Cannes Film Festival,1949.0,Grand Prize of the Festival,Nominated,de
Shôhei Imamura,Mainichi Film Concours,1990.0,Mainichi Film Concours,Won,ja
Sloan Copeland,"Philadelphia Independent Film Festival, US",2013.0,Best Feature Film,Won,en
David Carradine,Italian Online Movie Awards (IOMA),2005.0,IOMA,Nominated,en
Cláudio Assis,"Festin Lisboa Film Festival, PT",2012.0,Festin Award,Won,pt
Arthur Penn,Moscow International Film Festival,1971.0,FIPRESCI Prize - Special Mention,Won,en
Christopher H.K. Lee,Long Island Film Festival,2009.0,Best Short Film,Nominated,en
George Clooney,Palm Springs International Film Festival,2012.0,Chairman's Award,Won,en
Walter Janssen,German Film Awards,1968.0,Honorary Award,Won,de
Derek Frey,Brightside Tavern Film Festival,2015.0,Festival Prize,Nominated,en
Alison Eastwood,Santa Barbara International Film Festival,2016.0,Panavision Spirit Award for Independent Cinema,Nominated,en
Rodrigo Plá,Biarritz International Festival of Latin American Cinema,2015.0,Special Jury Prize,Won,es
Noel Black,Cannes Film Festival,1966.0,Palme d'Or - Best Short Film,Won,en
Kevin Spacey,"Academy Awards, USA",1996.0,Oscar,Won,en
Mary Sweeney,Humanitas Prize,2000.0,Humanitas Prize,Nominated,en
Elaine May,Online Film Critics Society Awards,1999.0,OFCS Award,Nominated,en
Tomas Alfredson,Satellite Awards,2011.0,Satellite Award,Nominated,en
Menelaos Karamaghiolis,Tokyo International Film Festival,2011.0,Tokyo Grand Prix,Nominated,en
Alain Tasma,Cognac Festival du Film Policier,1994.0,Grand Prix Téléfilm,Won,fr
Kristjan Thor,Maine International Film Festival,2015.0,Audience Award,Won,en
Dagmar Hirtz,German Television Awards,2011.0,German Television Award,Nominated,de
Leif Kaldor,Yorkton Film Festival,2011.0,Golden Sheaf Award,Won,en
Eddie Murphy,Online Film & Television Association,2007.0,OFTA Film Award,Nominated,en
Nanni Moretti,Cannes Film Festival,1998.0,Palme d'Or,Nominated,it
Sean Connery,Online Film & Television Association,1997.0,OFTA Film Award,Won,en
Tobias Nölle,Max Ophüls Festival,2016.0,Best Socially Relevant Film,Won,de
Julia Stiles,Gotham Awards,2012.0,Gotham Independent Film Award,Nominated,en
Giorgio Pasotti,Italian National Syndicate of Film Journalists,2014.0,Silver Ribbon,Nominated,it
Kanye West,Grammy Awards,2016.0,Grammy,Nominated,en
Santiago Giralt,Academy of Motion Picture Arts and Sciences of Argentina,2008.0,Award of the Argentinean Academy,Nominated,es
João Jardim,São Paulo International Film Festival,2005.0,Bombril Award,Won,pt
John Daly,Film Independent Spirit Awards,1987.0,Independent Spirit Award,Nominated,en
Sam Miller,Verzaubert - International Gay & Lesbian Film Festival,1998.0,Rosebud,Nominated,en
Jafar Panahi,Singapore International Film Festival,1998.0,Special Jury Prize,Won,fa
Michael Ballhaus,European Film Awards,2007.0,Outstanding European Achievement in World Cinema,Won,de
Pavel Khvaleev,Winter Film Awards,2016.0,Award of Excellence,Nominated,en
John Williams,Grammy Awards,2005.0,Grammy,Nominated,en
Thomas Dekker,Young Artist Awards,2001.0,Young Artist Award,Won,en
Thomas Vinterberg,Traverse City Film Festival,2014.0,Audience Award,2nd place,da
Olivier Nakache,Nantucket Film Festival,2012.0,Audience Award,Won,en
Andreas Dresen,Valladolid International Film Festival,1999.0,Best New Director,Won,de
Frederico Serra,Cinénygma - Luxembourg International Film Festival,2006.0,Grand Prize of European Fantasy Film in Gold,Nominated,en
Derek Bailey,CableACE Awards,1989.0,ACE,Won,en
Jonathan Demme,Berlin International Film Festival,1994.0,Golden Berlin Bear,Nominated,en
Ray Milland,"Golden Globes, USA",1953.0,Golden Globe,Nominated,en
Brett Whitcomb,San Diego Comic-Con International Independent Film Festival,2012.0,CCI:IFF Award,Won,en
Heiner Carow,Berlin International Film Festival,1990.0,Teddy,Won,de
Michelangelo Antonioni,European Film Awards,1993.0,Lifetime Achievement Award,Won,it
Michael Mann,Los Angeles Film Critics Association Awards,1999.0,LAFCA Award,2nd place,en
Rubaiyat Hossain,Belize International Film Festival,2012.0,Conchshell Award,Nominated,bn
Sarah Burns,London Film Festival,2012.0,Grierson Award,Nominated,en
Terry Sanders,"Academy Awards, USA",1991.0,Oscar,Nominated,en
David Swift,"Writers Guild of America, USA",1968.0,WGA Award (Screen),Nominated,en
Benny Jaberg,Swiss Film Prize,2016.0,Swiss Film Prize,Nominated,en
Silvio Soldini,"Golden Globes, Italy",2010.0,Golden Globe,Won,it
Shirley Sun,Sundance Film Festival,1990.0,Grand Jury Prize,Nominated,en
Stanley Nelson,Cleveland International Film Festival,2015.0,Greg Gund Memorial Standing Up Award,Nominated,en
Laxmikant Shetgaonkar,Palm Springs International Film Festival,2010.0,New Voices/New Visions Grand Jury Prize,Nominated,hi
Thomas Gibson,Screen Actors Guild Awards,1997.0,Actor,Nominated,en
Santiago Amigorena,Mar del Plata Film Festival,2007.0,Best Film,Nominated,fr
Phedon Papamichael,BAFTA Awards,2014.0,BAFTA Film Award,Nominated,en
Simon Cartwright,San Francisco International Film Festival,2016.0,Golden Gate Award,Won,en
Karlos Alastruey,"Action on Film International Film Festival, USA",2017.0,Action on Film Award,Nominated,en
Chris Chan Lee,Hoboken International Film Festival,2017.0,Festival Award,Nominated,en
Gillian Anderson,"Academy of Science Fiction, Fantasy & Horror Films, USA",2016.0,Saturn Award,Nominated,en
Ben Hickernell,Philadelphia Film Festival,2010.0,Jury Award,Won,en
Robert Festinger,Chlotrudis Awards,2002.0,Chlotrudis Award,Nominated,en
Thomas Newman,Online Film Critics Society Awards,2009.0,OFCS Award,Nominated,en
Philippe Lacôte,Trophees Francophones du Cinema,2015.0,Trophée Francophone,Nominated,en
Rafael Urban,São Paulo International Short Film Festival,2011.0,ABD-SP Award - Special Mention,Won,en
Michael Radford,Fantasporto,1985.0,International Fantasy Film Award,Nominated,en
Andreas Dresen,German Television Awards,2001.0,German Television Award,Nominated,de
