director_name,ceremony,year,category,outcome,original_language
Chris Nickin,"Grand Rapids Film Festival, US",2014.0,Best Feature,Won,en
Thomas Heise,German Film Critics Association Awards,1993.0,German Film Critics Award,Won,de
Michael Cory Davis,HDFest,2005.0,Best High-Definition Short,Won,en
Jeff Sousa,Woodstock Film Festival,2010.0,Jury Prize,Won,en
Etan Cohen,Annie Awards,2005.0,Annie,Won,en
Thierry Knauff,Torino International Festival of Young Cinema,1989.0,Prize of the City of Torino,Won,fr
Paul Soriano,Star Awards for Movies,2012.0,Star Award,Won,en
Dean Wellins,Annie Awards,2001.0,Annie,Nominated,en
Jaap van Heusden,Prix Europa,2013.0,Prix Europa,Nominated,en
Guillaume Pierret,San Luis Obispo International Film Festival,2013.0,George Sidney Independent Film Competition Winner,Nominated,en
Joe Finley,"Hollywood Post Alliance, US",2014.0,HPA Awards,Nominated,en
Alex Coletti,CableACE Awards,1995.0,CableACE,Won,en
Stewart Alexander,St. Louis International Film Festival,2013.0,St. Louis Film Critics' Joe Pollack Award,Nominated,en
Jakrawal Nilthamrong,Rotterdam International Film Festival,2015.0,Lions Film Award,Nominated,en
Kirsten Dunst,Ole Awards,2012.0,Ole,Won,en
Dean Yamada,Heartland Film Festival,2009.0,Vision Award,Won,en
Ian & Cooper,Teen Choice Awards,2006.0,Teen Choice Award,Nominated,en
Rudolf Buitendach,Arizona International Film Festival,2015.0,Festival Grand Prize,Won,en
Mark Mothersbaugh,Daytime Emmy Awards,1991.0,Daytime Emmy,Nominated,en
Shawn Seet,Australian Film Institute,2001.0,Open Craft Award,Won,en
Katja von Garnier,Bavarian Film Awards,1994.0,Bavarian Film Award,Won,de
Chris Weitz,Washington DC Area Film Critics Association Awards,2002.0,WAFCA Award,Nominated,en
Anurag Kashyap,Filmfare Awards,2011.0,Filmfare Award,Nominated,hi
Chema García Ibarra,Chicago International Film Festival,2009.0,Gold Hugo,Nominated,es
Bennett Jones,Denver International Film Festival,2014.0,American Independent Award,Nominated,en
Russell Crowe,San Diego Film Critics Society Awards,2007.0,SDFCS Award,2nd place,en
John August,"Writers Guild of America, USA",2016.0,Valentine Davies Award,Won,en
Gian Maria Volonté,Italian National Syndicate of Film Journalists,1971.0,Silver Ribbon,Won,it
Peter Pau,British Society of Cinematographers,2001.0,Best Cinematography Award,Nominated,en
Marteinn Þórsson,Cork International Film Festival,2013.0,Audience Award,Nominated,en
Thomas Riedelsheimer,European Film Awards,2004.0,European Film Award,Nominated,en
Adriano Valentini,New York City Short Film Festival,2011.0,Audience Award,Nominated,en
Jessica Yu,Aspen Shortsfest,2013.0,Audience Recognition,Won,en
Gary Oldman,"Academy of Science Fiction, Fantasy & Horror Films, USA",1993.0,Saturn Award,Won,en
Robert Montgomery,"Academy Awards, USA",1938.0,Oscar,Nominated,en
Pierre Coffin,"St. Louis Film Critics Association, US",2010.0,SLFCA Award,Nominated,en
Mervyn LeRoy,Laurel Awards,1968.0,Golden Laurel,Nominated,en
Jorge Pelicano,Doclisboa International Film Festival,2009.0,AVID Award,Won,pt
Flavio Alves,Atlantic City Cinefest,2011.0,Festival Prize,Won,en
Hermine Huntgeburth,"Adolf Grimme Awards, Germany",1997.0,Adolf Grimme Award,Nominated,de
Regina Russell Banali,Newport Beach Film Festival,2014.0,Honors,Won,en
Ramin Bahrani,Riga International Film Forum 'Arsenals',2006.0,InterFilm Jury Award,Won,en
Rosario Garcia-Montero,Arizona International Film Festival,2004.0,Reel Frontier Special Jury Award,Won,es
Kim Ki-duk,Sitges - Catalonian International Film Festival,2006.0,Best Film,Nominated,ko
Alex Merkin,Accolade Competition,2016.0,Award of Excellence Special Mention,Won,en
Ralph Fiennes,"Golden Globes, USA",1997.0,Golden Globe,Nominated,en
Jack Plotnick,US Comedy Arts Festival,2003.0,Film Discovery Jury Award,Won,en
Jim,Satellite Awards,2005.0,Golden Satellite Award,Nominated,en
Madonna,Razzie Awards,1987.0,Razzie Award,Won,en
Ralph Fiennes,Awards Circuit Community Awards,1996.0,ACCA,2nd place,en
Ben Affleck,"Writers Guild of America, USA",2015.0,Valentine Davies Award,Won,en
Doug Roos,Bare Bones International Film & Music Festival,2014.0,Bonehead Award,Nominated,en
Norman Jewison,Directors Guild of Canada,2002.0,DGC Lifetime Achievement Award,Won,en
Lyudmila Gurchenko,People's Artist of the USSR,1983.0,People's Artist of the USSR,Won,en
Michael Glawogger,CPH:DOX,2005.0,CPH:DOX Award,Won,de
Catriona McKenzie,Berlin International Film Festival,2013.0,Crystal Bear - Special Mention,Won,en
Mia Hansen-Løve,Locarno International Film Festival,2011.0,Golden Leopard,Nominated,fr
Randy Bradshaw,Gemini Awards,1989.0,Gemini,Won,en
Mel Brooks,"American Comedy Awards, USA",1987.0,Lifetime Achievement Award in Comedy,Won,en
Jessica Sharzer,Tribeca Film Festival,2002.0,Special Mention,Won,en
Sabine Hiebler,Molodist International Film Festival,2002.0,Best Film Award,Nominated,de
Paweł Pawlikowski,Indiewire Critics' Poll,2014.0,ICP Award,Nominated,en
Julie Bertuccelli,Sydney Film Festival,2010.0,Sydney Film Prize,Nominated,fr
David Kane,"BAFTA Awards, Scotland",2011.0,BAFTA Scotland Award,Nominated,en
Kathy Bates,Phoenix Film Critics Society Awards,2011.0,PFCS Award,Nominated,en
