director_name,ceremony,year,category,outcome,original_language
Robert Wise,"Golden Globes, USA",1964.0,Golden Globe,Nominated,en
Brian Welsh,"Broadcast Awards, UK",2015.0,Broadcast Awards,Won,en
Victor Vicas,Mar del Plata Film Festival,1962.0,Best Film,Nominated,de
Rose Troche,Sundance Film Festival,1994.0,Grand Jury Prize,Nominated,en
Juraj Nvota,Warsaw International Film Festival,2008.0,Competition 1-2 Award,Nominated,cs
Robert Gulassarian,Barcelona International Film Festival,2013.0,Gold Lion Award,Won,en
Pavel Kadochnikov,People's Artist of the USSR,1979.0,People's Artist of the USSR,Won,en
Ina Weisse,German Television Academy Awards,2015.0,German Television Academy Award,Won,de
Margot Schaap,Jeonju Film Festival,2015.0,Grand Prize,Nominated,nl
Tengiz Abuladze,Chicago International Film Festival,1987.0,Special Jury Prize,Won,ka
Philip Seymour Hoffman,Chlotrudis Awards,2004.0,Chlotrudis Award,Won,en
Ridley Scott,Italian National Syndicate of Film Journalists,1983.0,Silver Ribbon,Nominated,en
Filip Marczewski,WorldFest Houston,2006.0,Silver Award,Won,pl
Melvin Van Peebles,Humanitas Prize,1987.0,Humanitas Prize,Won,en
Louis Bélanger,Montréal World Film Festival,1999.0,Best Director,Won,en
João Rui Guerra da Mata,Entrevues Film Festival,2007.0,Grand Prix,Won,pt
Charlie McDowell,San Francisco Film Critics Circle,2014.0,Special Citation,Won,en
Jamie Babbit,"FilmOut San Diego, US",2008.0,FilmOut Audience Awards,Won,en
Anja Jacobs,"Nuremberg Film Festival ""Turkey-Germany""",2012.0,Best Film,Nominated,de
Mike Akel,Austin Film Festival,2006.0,Feature Film Award,Won,en
Bob Odenkirk,Primetime Emmy Awards,1999.0,Primetime Emmy,Nominated,en
Amir Manor,Annonay International Festival of First Films,2014.0,Grand Jury Prize,Won,en
Anders Grönros,Guldbagge Awards,1992.0,Guldbagge,Won,sv
Lendita Zeqiraj,"Red Dirt International Film Festival, US",2014.0,Best Short Film,Won,sq
Rebecca Hu,Julien Dubuque International Film Festival,2014.0,Audience Choice,Won,en
Kevin Hull,Yamagata International Documentary Film Festival,1995.0,Robert and Frances Flaherty Prize,Nominated,en
Pendleton Ward,Primetime Emmy Awards,2013.0,Primetime Emmy,Nominated,en
Garri Bardin,Nika Awards,1999.0,Nika,Won,ru
Manuel Abramovich,Argentinean Film Critics Association Awards,2015.0,Silver Condor,Won,en
Brian Henson,Gérardmer Film Festival,2002.0,Audience Award,Won,en
Clément Cogitore,Sarasota Film Festival,2016.0,Special Jury Prize,Won,en
Lemuel Lorca,Cinefilipino Film Festival,2016.0,Jury Prize,Won,en
Tamás Sas,Hungarian Film Week,2003.0,Best Cinematographer,Won,hu
Dan Cutforth,Primetime Emmy Awards,2016.0,Primetime Emmy,Nominated,en
Salvatore Ficarra,"Capri, Hollywood",2007.0,Capri Exploit Award,Won,it
Victor Buhler,Big Muddy Film Festival,2001.0,Best Narrative Short,2nd place,en
Geoff Marslett,SXSW Film Festival,2013.0,Lone Star States,Won,en
Jeff Lau,Hong Kong Film Critics Society Awards,1996.0,HKFCS Award,Won,cn
Mark Gatiss,Writers' Guild of Great Britain,2011.0,Writers' Guild of Great Britain Award,Nominated,en
