director_name,ceremony,year,category,outcome,original_language
Benny Chan,Hong Kong Film Awards,1997.0,Hong Kong Film Award,Nominated,cn
Tony Gilroy,Online Film & Television Association,2015.0,OFTA Film Award,Nominated,en
Dheeraj Akolkar,Chicago International Film Festival,2012.0,Gold Hugo,Nominated,en
PES,Durango Film Festival,2003.0,Special Jury Commendation,Won,en
Jaime Marques,Locarno International Film Festival,2007.0,C.I.C.A.E. Award,Won,en
Evgeniy Shelyakin,Sochi Open Russian Film Festival,2014.0,Grand Prize of the Festival,Nominated,ru
Katie Dellamaggiore,SXSW Film Festival,2012.0,Audience Award,Won,en
Michel Kammoun,Namur International Festival of French-Speaking Film,2006.0,Golden Bayard,Won,en
Paul Barnes,Primetime Emmy Awards,2008.0,Primetime Emmy,Nominated,en
Julia Leigh,Transilvania International Film Festival,2012.0,Audience Award,Nominated,en
Patrice Toye,Hamburg Film Festival,2008.0,Critics Award,Nominated,nl
Philip Hoffman,Gold Derby Awards,2006.0,Gold Derby Award,Won,en
Michael Moore,"Cinema Eye Honors Awards, US",2015.0,Cinema Eye Honors Award,Won,en
Felipe Lacerda,Cinema Brazil Grand Prize,2012.0,Cinema Brazil Grand Prize,Nominated,pt
Jean-François Asselin,"Canadian Screen Awards, CA",2014.0,Canadian Screen Award,Nominated,en
Silvio Muccino,Italian National Syndicate of Film Journalists,2003.0,Guglielmo Biraghi Award,Won,it
Hanna Polak,Munich International Documentary Festival (DOK.fest),2015.0,SOS-Kinderdörfer Award,Nominated,en
Peter Brook,São Paulo International Film Festival,1990.0,Audience Award,Won,en
Emmanuel Kervyn,Fantasporto,1990.0,International Fantasy Film Award,Nominated,en
David Blair,"Royal Television Society, UK",2006.0,RTS Television Award,Won,en
Marina Razbezhkina,Thessaloniki Film Festival,2004.0,Silver Alexander,Won,en
Robert Greene,Gotham Awards,2015.0,Audience Award,Nominated,en
Kirsten Dunst,Chlotrudis Awards,2012.0,Chlotrudis Award,Nominated,en
Morten Tyldum,"Amanda Awards, Norway",2012.0,Amanda,Nominated,en
Uruphong Raksasad,Rotterdam International Film Festival,2014.0,FIPRESCI Prize,Won,th
Eric Stoltz,Daytime Emmy Awards,2002.0,Daytime Emmy,Nominated,en
Radu Muntean,Palic Film Festival,2008.0,Special Mention,Won,en
Naomi Kawase,Haifa International Film Festival,2015.0,Carmel Award,Won,ja
Steve Hudson,British Independent Film Awards,2007.0,Douglas Hickox Award,Nominated,en
Julian Fellowes,"TV Quick Awards, UK",2012.0,TV Quick Award,Nominated,en
Shimmy Marcus,Green Bay Film Festival,2013.0,Audience Choice Award,Won,en
Mark Ruffalo,Georgia Film Critics Association (GFCA),2015.0,GFCA Award,Nominated,en
Jonas Åkerlund,MTV Video Music Awards (VMA),1998.0,VMA,Nominated,en
Issiaka Konate,Fribourg International Film Festival,1992.0,Best Short Film Award,Won,en
Tim Burton,Scream Awards,2010.0,Scream Award,Nominated,en
Bruno Dumont,Prix Saint-Germain,2011.0,Prix Saint-Germain,Won,fr
Sergei Ovcharov,Berlin International Film Festival,1999.0,Golden Berlin Bear,Won,ru
Marcus H. Rosenmüller,German Film Awards,2007.0,Film Award in Gold,Won,de
Judi Dench,Vancouver Film Critics Circle,2007.0,VFCC Award,Nominated,en
Karsten Krause,Warsaw International Film Festival,2010.0,Best Short,Nominated,en
Andrew Bowler,Omaha Film Festival,2011.0,Jury Award,Nominated,en
Louis Mandylor,Hoboken International Film Festival,2008.0,Festival Award,Won,en
Bruce McDonald,Torino International Festival of Young Cinema,1990.0,Prize of the City of Torino,Nominated,en
Richard Taylor,Online Film & Television Association,2006.0,OFTA Film Award,Nominated,en
Angelina Jolie,Alliance of Women Film Journalists,2008.0,EDA Female Focus Award,Nominated,en
Wojciech Staron,Krakow Film Festival,2012.0,Award of the Polish Society of Cinematographers,Won,en
Tim Grabham,"T-Mobile New Horizons International Film Festival, Poland",2015.0,Grand Prix,Nominated,en
Zrinko Ogresta,Pula Film Festival,2016.0,Croatian Society of Film Critics Award,Won,hr
Peter Jackson,Venice Film Festival,1994.0,Silver Lion,Won,en
Michael Polish,Oldenburg Film Festival,2011.0,German Independence Award - Audience Award,Nominated,en
Robert Pulcini,"Newport International Film Festival, Rhode Island",1998.0,Special Jury Award,Won,en
Donnie Anderson,Gemini Awards,2004.0,Gemini,Nominated,en
Louis Mansfield,World Music and Independent Film Festival,2011.0,Festival Award,Won,en
Darren Aronofsky,Venice Film Festival,2006.0,Golden Lion,Nominated,en
Bruce Gowers,Grammy Awards,1986.0,Grammy,Won,en
Angelina Jolie,Blockbuster Entertainment Awards,2000.0,Blockbuster Entertainment Award,Won,en
Andrey Smirnov,Nika Awards,2012.0,Nika,Nominated,ru
Leonard Nimoy,"Academy of Science Fiction, Fantasy & Horror Films, USA",1985.0,Saturn Award,Nominated,en
Brian De Palma,Hugo Awards,1975.0,Hugo,Nominated,en
Ricky Tognazzi,David di Donatello Awards,1990.0,David,Won,it
Leandro Castellani,Giffoni Film Festival,1987.0,Golden Gryphon,Won,it
Alfonso Cuarón,Seattle Film Critics Awards,2002.0,Seattle Film Critics Award,2nd place,en
Joel Novoa,Mar del Plata Film Festival,2013.0,Best Latin-American Film,Nominated,en
Edgar Reitz,Venice Film Festival,1967.0,Golden Lion,Nominated,de
Rainer Werner Fassbinder,German Film Awards,1978.0,Film Award in Gold,Won,de
Alina Rudnitskaya,Jihlava International Documentary Film Festival,2008.0,Best Central and Eastern European Documentary,Nominated,ru
Piero Messina,Italian National Syndicate of Film Journalists,2016.0,SIAE Silver Ribbon,Won,it
Ivana Lalovic,Saas Fee Filmfest,2014.0,Audience Award,Won,en
Peter Patzak,Cinequest San Jose Film Festival,2003.0,Director's Award,Won,de
Tatsumi Kumashiro,Awards of the Japanese Academy,1996.0,Special Award,Won,en
David Evans,San Francisco International Film Festival,1999.0,Certificate of Merit,Won,en
Yuriy Moroz,"Golden Eagle Awards, Russia",2011.0,Golden Eagle,Nominated,ru
Marc Gibaja,Clermont-Ferrand International Short Film Festival,2001.0,Youth Jury Award,Won,fr
Sylvio Back,São Paulo Association of Art Critics Awards,1978.0,APCA Trophy,Won,pt
José Miguel Ribeiro,Annecy International Animated Film Festival,2005.0,The Annecy Cristal,Nominated,pt
Brendan Donovan,Chicago International Film Festival,2001.0,Gold Hugo,Nominated,en
Milo Ventimiglia,MTV Movie + TV Awards,2017.0,MTV Movie + TV Award,Won,en
Jared Leto,Toronto International Film Festival,2012.0,People's Choice Award,Won,en
Valérie Donzelli,Locarno International Film Festival,2009.0,Golden Leopard - Filmmakers of the Present,Nominated,en
Charles Berling,"César Awards, France",1995.0,César,Nominated,fr
Casey Affleck,Hollywood Film Awards,2007.0,Hollywood Breakthrough Award,Won,en
Selton Mello,Chicago International Film Festival,2011.0,Gold Hugo,Nominated,pt
Jonathan Glazer,San Francisco Film Critics Circle,2014.0,SFFCC Award,Nominated,en
George Stevens Jr.,"Academy Awards, USA",2013.0,Honorary Award,Won,en
Anatole Litvak,Venice Film Festival,1932.0,Audience Referendum,Nominated,en
Nijole Adomenaite,Angers European First Film Festival,1993.0,Procirep Award,Won,en
Sally Field,Razzie Awards,1992.0,Razzie Award,Nominated,en
John Schlesinger,David di Donatello Awards,1970.0,David,Won,en
Mimmo Calopresti,Golden Ciak Awards,1998.0,Golden Ciak,Nominated,it
John Pogue,Rondo Hatton Classic Horror Awards,2014.0,Rondo Statuette,Nominated,en
Peter Sehr,Bavarian Film Awards,2002.0,Bavarian Film Award,Won,de
Erin Derham,Manchester International Film Festival (MANIFF),2017.0,Jury Special Mention,Won,en
Stephen Frears,Robert Festival,2014.0,Robert,Nominated,en
Sumitra Bhave,Screen Weekly Awards,2005.0,Screen,Won,mr
César Charlone,Argentinean Film Critics Association Awards,2010.0,Silver Condor,Won,en
Anthony Minghella,Online Film & Television Association,1997.0,OFTA Film Award,Nominated,en
Arturo Ripstein,"Ariel Awards, Mexico",1979.0,Golden Ariel,Won,es
Luigi Mangini,Giffoni Film Festival,1977.0,Golden Gryphon,Won,it
Konstantin Lopushanskiy,Nika Awards,2002.0,Nika,Nominated,en
Edward Mirzoeff,BAFTA Awards,1987.0,BAFTA TV Award,Nominated,en
Sam Taylor-Johnson,Yoga Awards,2016.0,Yoga Award,Won,en
Lazar Ristovski,Pula Film Festival,2016.0,Golden Arena,Won,sr
Gordon Hollingshead,"Academy Awards, USA",1952.0,Oscar,Nominated,en
Nikole Beckwith,Women's Image Network Awards,2015.0,WIN Award,Nominated,en
Shirley MacLaine,"Golden Globes, USA",1962.0,Golden Globe,Nominated,en
Michaela Pavlátová,Hiroshima International Animation Festival,2012.0,Grand Prix,Nominated,cs
Christian-Jaque,Berlin International Film Festival,1952.0,Silver Berlin Bear,Won,fr
Paul Negoescu,Zurich Film Festival,2012.0,Golden Eye,Nominated,en
Joel Edgerton,Fangoria Chainsaw Awards,2016.0,Chainsaw Award,Won,en
Yuri Grymov,Cairo International Film Festival,1998.0,Golden Pyramid,Nominated,en
Frank Sebastiano,Primetime Emmy Awards,2006.0,Primetime Emmy,Nominated,en
Benicio del Toro,New York Film Critics Circle Awards,2000.0,NYFCC Award,2nd place,en
Juzo Itami,Chicago International Film Festival,1997.0,Gold Hugo,Nominated,ja
Nonzee Nimibutr,Bangkok Film Festival,1999.0,Golden Elephant,Won,th
M. Night Shyamalan,"Empire Awards, UK",2000.0,Empire Award,Won,en
Billy Bob Thornton,Cinequest San Jose Film Festival,2001.0,Maverick Tribute Award,Won,en
Dominique Monfery,Melbourne International Film Festival,2003.0,Grand Prix,Won,fr
Katski Flores,Cinemalaya Independent Film Festival,2007.0,Balanghai Trophy,Nominated,tl
Harry Lynch,Park City Film Music Festival,2005.0,Gold Medal for Excellence,Won,en
James Ward Byrkit,Gotham Awards,2014.0,Audience Award,Nominated,en
Sarah Polley,São Paulo International Film Festival,2007.0,International Jury Award,Nominated,en
Robert D. Siegel,Sundance Film Festival,2009.0,Grand Jury Prize,Nominated,en
George Roy,San Francisco International Film Festival,1999.0,Certificate of Merit,Won,en
Rolf Silber,Jupiter Award,2012.0,Jupiter Award,Won,de
Jacques Doillon,Prix Louis Delluc,1990.0,Prix Louis Delluc,Won,fr
Blaž Završnik,Slovene Film Festival,2014.0,Audience Award,Won,sl
Jeff Malmberg,Woodstock Film Festival,2010.0,Jury Prize,Won,en
Ulu Braun,Berlin International Film Festival,2013.0,Golden Berlin Bear,Nominated,en
Alain Gagnol,European Film Awards,2011.0,European Film Award,Nominated,fr
Basel Owies,Mexico International Film Festival,2010.0,Silver Palm Award,Won,en
Borhane Alaouié,Moscow International Film Festival,1975.0,Diploma,Won,ar
Pierre Schoendoerffer,"National Academy of Cinema, France",1982.0,Academy Award,Won,en
John Ridley,Kansas City Film Critics Circle Awards,2013.0,KCFCC Award,Won,en
Gael García Bernal,Glitter Awards,2005.0,Glitter Award,Won,es
Giuseppe Bertolucci,Venice Film Festival,1999.0,FEDIC Award,Won,it
Artus de Penguern,"César Awards, France",2002.0,César,Nominated,fr
Diogo Costa Amarante,Torino International Gay & Lesbian Film Festival,2012.0,Best Short Film,2nd place,en
Alex Merkin,Los Angeles Film Review Independent Film Awards,2017.0,Gold Award,Won,en
Ilko Davidov,Wild Rose Independent Film Festival,2013.0,WRIFF Award,Won,en
Peter Scharf,Munich International Documentary Festival (DOK.fest),2014.0,Viktor Award,Nominated,de
Alexandre Moors,Deauville Film Festival,2013.0,Grand Special Prize,Nominated,en
Charlton Heston,Primetime Emmy Awards,1953.0,Primetime Emmy,Nominated,en
George Hickenlooper,"Newport International Film Festival, Rhode Island",1999.0,Jury Award,Nominated,en
Tony Olmos,"San Diego Film Awards, US",2017.0,San Diego Film Award,Nominated,en
Fellipe Barbosa,Odessa International Film Festival,2017.0,Golden Duke,Nominated,pt
António-Pedro Vasconcelos,Cannes Film Festival,2000.0,C.I.C.A.E. Award,Won,pt
Rainer Werner Fassbinder,Chicago International Film Festival,1974.0,Silver Hugo,Won,de
Don McCorkell,Santa Barbara International Film Festival,2008.0,Jury Award,Nominated,en
Janusz Morgenstern,Polish Film Awards,2001.0,Eagle,Nominated,pl
Joon-han Yeo,Hong Kong Asian Film Festival,2008.0,New Talent Award,Nominated,en
Simon Groß,Seattle International Film Festival,2017.0,Grand Jury Prize,Nominated,de
Yury Bykov,Cannes Film Festival,2013.0,Critics Week Grand Prize,Nominated,ru
Tsung-Han Tsai,Asia-Pacific Film Festival,2009.0,Best Short Film,Nominated,en
Shari Springer Berman,Cannes Film Festival,2003.0,FIPRESCI Prize,Won,en
Péter Gárdos,Festróia - Tróia International Film Festival,1988.0,Silver Dolphin,Won,hu
Greta Gerwig,Broadcast Film Critics Association Awards,2016.0,Critics Choice Award,Nominated,en
Juan José Campanella,Sant Jordi Awards,2010.0,Audience Award,Won,es
Thomas Imbach,Zurich Film Awards,2011.0,Zurich Film Award,Won,de
Sabyn Mayfield,Gasparilla International Film Festival,2014.0,Audience Award,Won,en
Madonna,Online Film & Television Association,2001.0,OFTA Film Award,Nominated,en
Martin Wood,Leo Awards,2011.0,Leo,Nominated,en
Francisco Prósper,"Cinema Writers Circle Awards, Spain",1996.0,CEC Career Award,Won,es
Don Escudero,"FAP Awards, Philippines",2012.0,Lamberto Avellana Award,Won,en
Ari Folman,Gijón International Film Festival,2008.0,Special Prize of the Young Jury,Won,en
Lorenzo Hagerman,News & Documentary Emmy Awards,2010.0,Emmy,Nominated,es
Natalie Portman,Cinema for Peace Awards,2016.0,Cinema for Peace Award,Nominated,en
Whammy Alcazaren,Cinema One Originals Digital Film Festival,2016.0,Festival Prize,Nominated,en
Mr. Lawrence,Primetime Emmy Awards,2011.0,Primetime Emmy,Nominated,en
Shôhei Imamura,Awards of the Japanese Academy,1980.0,Award of the Japanese Academy,Won,ja
Alex Winter,SXSW Film Festival,2013.0,Audience Award,Nominated,en
Christopher Warre Smets,Canadian Filmmakers' Festival,2008.0,Best Feature Film,Won,en
Marco Bellocchio,"Golden Globes, Italy",1991.0,Golden Globe,Won,en
Danny Glover,Dubai International Film Festival,2007.0,Lifetime Achievement Award,Won,en
Malay Javier,"Young Critics Circle, Philippines",2016.0,YCC Award,Nominated,en
Walter Matthau,"Golden Globes, USA",1982.0,Golden Globe,Nominated,en
Oliver Hirschbiegel,Bambi Awards,2004.0,Bambi,Won,de
Emile Ardolino,Primetime Emmy Awards,1979.0,Primetime Emmy,Nominated,en
Gaël d'Ynglemare,Jutra Awards,1999.0,Jutra,Nominated,fr
Ralph Fiennes,International Online Cinema Awards (INOCA),2015.0,INOCA,Won,en
Kevin Smith,Hawaii International Film Festival,2006.0,Maverick Award,Won,en
Gahité Fofana,Fribourg International Film Festival,2006.0,Grand Prix,Nominated,en
John Dexter,Art Directors Guild,2000.0,Excellence in Production Design Award,Won,en
Alejandro Doria,Cartagena Film Festival,2007.0,OCLACC Award,Won,en
Sandra Kogut,Havana Film Festival,2008.0,Grand Coral - Second Prize,Won,pt
Lírio Ferreira,Recife Cine PE Audiovisual Festival,2006.0,Calunga Trophy,Won,pt
Kathy Bates,Online Film & Television Association,2015.0,OFTA Television Award,Won,en
Octávio Bezerra,Brazilia Festival of Brazilian Cinema,1993.0,Candango Trophy,Nominated,pt
진모영,Millennium Docs Against Gravity,2016.0,Documentary Academy Award,Won,ko
Amy Wendel,Ojai Film Festival,2004.0,Best Narrative Short,Won,en
Paulo Cézar Saraceni,São Paulo Association of Art Critics Awards,1973.0,APCA Trophy,Won,pt
Tom McCarthy,Film Independent Spirit Awards,2016.0,Independent Spirit Award,Won,en
Miraz Bezar,"Nuremberg Film Festival ""Turkey-Germany""",2010.0,Best Film,Nominated,de
Bille Woodruff,BET Comedy Awards,2005.0,BET Comedy Award,Nominated,en
Peter O'Toole,Laurel Awards,1963.0,Golden Laurel,Won,en
Lee Jones,London Critics Circle Film Awards,2013.0,ALFS Award,Nominated,en
Han Sanping,CinEuphoria Awards,2012.0,CinEuphoria,Won,zh
David Slade,Deauville Film Festival,2006.0,Grand Special Prize,Nominated,en
Niki Caro,BAFTA Awards,2003.0,BAFTA Children's Award,Won,en
Julio Aldama,Mexican Cinema Journalists,1963.0,Silver Goddess,Won,es
Erik Schmitt,Villeurbanne Short Film Festival,2014.0,Prix de la Région Rhône-Alpes,Won,de
Derek Frey,"Media Film Festival, US",2015.0,Jury Award,Won,en
James L. Brooks,"National Board of Review, USA",1983.0,NBR Award,Won,en
Anthony Wong,Hong Kong Film Awards,1994.0,Hong Kong Film Award,Won,cn
Vittorio Cottafavi,Flaiano International Prizes,1982.0,Flaiano d'Oro,Won,it
Steven Spielberg,Kansas City Film Critics Circle Awards,1985.0,KCFCC Award,Won,en
Luke Doolan,IF Awards,2010.0,IF Award,Nominated,en
Khalo Matabane,Dubai International Film Festival,2010.0,Muhr AsiaAfrica Award,Nominated,en
Jon Stewart,Primetime Emmy Awards,2002.0,Primetime Emmy,Nominated,en
Keith Truesdell,San Francisco International Film Festival,1997.0,Certificate of Merit,Won,en
Ben Ratner,Leo Awards,2005.0,Leo,Won,en
Alan Taylor,Tromsø International Film Festival,1997.0,Audience Award,Won,en
Ernest Lehman,"Writers Guild of America, USA",1960.0,WGA Award (Screen),Nominated,en
Edgar Reitz,German Film Awards,1963.0,Film Award in Silver,Won,de
Maria Procházková,Art Film Festival,1997.0,Financial Prize,Won,cs
Wu Tian-Ming,Canberra Short Film Festival,1997.0,Audience Award,Won,zh
Manuel Barbachano Ponce,"Academy Awards, USA",1958.0,Oscar,Nominated,en
Jiří Vejdělek,"Tirana International Film Festival, AL",2010.0,Jury Award,Won,cs
Klaus Maria Brandauer,Guild of German Art House Cinemas,1991.0,Guild Film Award - Silver,Won,de
João Leitão,CinEuphoria Awards,2016.0,CinEuphoria,Nominated,pt
Mauricio Osaki,Tbilisi International Film Festival,2014.0,Best Film,Won,en
Roviros Manthoulis,Thessaloniki Film Festival,1966.0,Greek Competition Award,Won,el
Silvestar Kolbas,Liburnia Film Festival,2011.0,Festival Prize,Won,hr
Virgil Widrich,Drama Short Film Festival,2001.0,2nd Prize,Won,en
Humberto Rosa,"Los Angeles Brazilian Film Festival, US",2014.0,Special Screenings,Nominated,en
David Victori,Gaudí Awards,2014.0,Gaudí Award,Nominated,en
Greg Yaitanes,Primetime Emmy Awards,2008.0,Primetime Emmy,Won,en
Andrea Kiss,Annecy International Animated Film Festival,2009.0,The Annecy Cristal,Nominated,fr
Emil Langballe,Hamburg Film Festival,2017.0,Political Film Award,Nominated,da
Joseph Gordon-Levitt,Nevada Film Critics Society,2012.0,NFCS Award,Won,en
Dee Rees,Los Angeles Film Festival,2007.0,Audience Award,Won,en
Tsai Ming-Liang,Chicago International Film Festival,2003.0,Gold Plaque,Won,zh
Hanif Kureishi,"Academy Awards, USA",1987.0,Oscar,Nominated,en
Carlos Reygadas,Cinemanila International Film Festival,2012.0,Best Director,Won,es
Roberto Rochín,"Ariel Awards, Mexico",1996.0,Silver Ariel,Nominated,en
Konkona Sen Sharma,Apsara Film Producers Guild Awards,2006.0,Apsara Award,Nominated,en
Mansur Madavi,Fantasporto,1985.0,International Fantasy Film Award,Nominated,en
Guy Édoin,Jutra Awards,2005.0,Jutra,Nominated,fr
Marc Meyers,Westchester Film Festival,2007.0,Festival Trophy,Won,en
Nancy LeBrun,CableACE Awards,1995.0,CableACE,Nominated,en
Carlo Lizzani,Montréal World Film Festival,1980.0,Grand Prix des Amériques,Won,it
Pasquale Scimeca,Miami Latin Film Festival,2002.0,Golden Egret,Won,it
Corey Lee,AMPIA Awards,2013.0,AMPIA Award,Won,en
Alessandro D'Alatri,Venice Film Festival,1998.0,Golden Lion,Nominated,it
Kelsey Grammer,MovieGuide Awards,2005.0,Grace Award,Nominated,en
Ken Diego,Daytime Emmy Awards,2011.0,Daytime Emmy,Won,en
Barak Goodman,Sundance Film Festival,2000.0,Grand Jury Prize,Nominated,en
Petra Biondina Volpe,Baden-Baden TV Film Festival,2010.0,3Sat Audience Award,Nominated,de
Andreas Gruber,Brussels International Film Festival,1998.0,Crystal Star,Nominated,de
David Stenn,Sundance Film Festival,2007.0,Grand Jury Prize,Nominated,en
Adrien Brody,"National Society of Film Critics Awards, USA",2003.0,NSFC Award,Won,en
Michael Tully,SXSW Film Festival,2011.0,Audience Award,Nominated,en
Marion Hänsel,"César Awards, France",1984.0,César,Nominated,fr
Federico Fellini,David di Donatello Awards,1986.0,David,Nominated,it
Darijan Pejovski,Montréal World Film Festival,2015.0,Golden Zenith,Nominated,mk
Klaus Händl,Hong Kong International Film Festival,2016.0,Jury Prize,Won,de
Morgan Freeman,Dallas-Fort Worth Film Critics Association Awards,1995.0,DFWFCA Award,2nd place,en
Brett Michael Innes,Silwerskerm Festival,2015.0,Silwerskerm Festival Prize,Nominated,af
Enzo Monteleone,Primavera del Cinema Italiano Festival,2009.0,Best Breakthrough Director,Won,it
Frank Marshall,BAFTA Awards,2000.0,BAFTA Film Award,Nominated,en
Israel Cárdenas,Miami Film Festival,2011.0,Grand Jury Prize,Nominated,es
Marek Najbrt,Cottbus Film Festival of Young East European Cinema,1999.0,Short Film Prize,2nd place,en
Elaine May,Razzie Awards,1988.0,Razzie Award,Nominated,en
Alexandru Solomon,Jihlava International Documentary Film Festival,2009.0,Silver Eye Award,Nominated,en
Laurie Anderson,Tribeca Film Festival,2006.0,Jury Award,Nominated,en
Bigas Luna,Verona Love Screens Film Festival,2002.0,Best Film,Nominated,es
Roman Polanski,Berlin International Film Festival,1965.0,Golden Berlin Bear,Nominated,en
Sarah Polley,San Francisco Film Critics Circle,2007.0,SFFCC Award,Won,en
Alonso Ruiz Palacios,Palm Springs International Film Festival,2015.0,Cine Latino Award,Nominated,es
Lucien Castaing-Taylor,Edinburgh International Film Festival,2013.0,The Michael Powell Award for Best British Feature Film,Won,en
Thom Fitzgerald,"Victoria Independent Film & Video Festival, Canada",2012.0,Best Canadian Feature,Won,en
Pier Giuseppe Murgia,San Sebastián International Film Festival,1981.0,Best New Director,Won,en
Ömer Kavur,Istanbul International Film Festival,1986.0,Best Turkish Film of the Year,Won,en
Arnold Laven,Golden Boot Awards,1992.0,Golden Boot,Won,en
Larry Charles,"Directors Guild of America, USA",2006.0,DGA Award,Nominated,en
Destin Cretton,Aspen Shortsfest,2009.0,Special Jury Award,Won,en
Stig Bergqvist,Berlin International Film Festival,1994.0,Golden Berlin Bear,Nominated,en
Fernando Meirelles,Aspen Shortsfest,2002.0,Jury Award,Won,pt
Michael H. Shamberg,"Academy Awards, USA",2001.0,Oscar,Nominated,en
Atom Egoyan,São Paulo International Film Festival,2011.0,Leon Cakoff Prize,Won,en
Dane Komljen,Rotterdam International Film Festival,2016.0,Tiger Award for Short Film,Nominated,en
Anders Refn,"Amanda Awards, Norway",2009.0,Amanda,Nominated,da
Chris Tashima,Huesca Film Festival,1997.0,Golden Danzante,Nominated,en
Nan Triveni Achnas,Asia-Pacific Film Festival,2001.0,Special Jury Award,Won,en
Liang Zhao,Nantes Three Continents Festival,2007.0,Golden Montgolfiere,Won,en
Robert Eggers,Toronto Film Critics Association Awards,2016.0,TFCA Award,Won,en
Tala Hadid,Dubai International Film Festival,2014.0,Muhr Award,Nominated,en
Aleksandr Askoldov,Berlin International Film Festival,1988.0,FIPRESCI Prize,Won,ru
Steven Spielberg,Cannes Film Festival,1974.0,Palme d'Or,Nominated,en
William Dear,Avoriaz Fantastic Film Festival,1984.0,Grand Prize,Nominated,en
Aditya Chopra,"National Film Awards, India",2010.0,Golden Lotus Award,Won,hi
Kim Nguyen,Berlin International Film Festival,2012.0,Golden Berlin Bear,Nominated,en
Michael Beach Nichols,Champs-Élysées Film Festival,2015.0,Audience Award,Nominated,en
Pupi Avati,Italian National Syndicate of Film Journalists,1993.0,Silver Ribbon,Nominated,it
Zabou Breitman,"César Awards, France",1986.0,César,Nominated,fr
Bill Sebastian,Microcinema Fest,2007.0,Festival Prize,Won,en
Alexandros Avranas,Venice Film Festival,2013.0,Silver Lion,Won,el
Mauro Mueller,CINE Competition,2010.0,CINE Golden Eagle,Won,en
Maninder Chana,I Filmmaker International Film Festival,2016.0,Jury Award,Won,en
Darren Aronofsky,Washington DC Area Film Critics Association Awards,2010.0,WAFCA Award,Nominated,en
Cher,MTV Video Music Awards (VMA),1988.0,VMA,Nominated,en
Roberto Rossellini,San Francisco International Film Festival,1959.0,Golden Gate Award,Won,it
Dušan Kovačević,Pula Film Festival of Yugoslavian Films,1984.0,Golden Arena,Won,sh
Henry Hughes,BAFTA/LA Student Film Awards,2015.0,BAFTA/LA Student Film Award,Won,en
